TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,,,
Track ID,X,Y,Z,T,Frame,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,,,
Track ID,X,Y,Z,T,Frame,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),(counts),(counts),,,
0,6.697600471,5.811401098,1.897749409,0,0,9.379746835,9,6,13,741,,,
0,6.401810711,5.567066693,1.830279284,3.821741343,1,27.98734177,28,13,41,2211,,,
0,6.343346959,5.781546133,1.567000561,7.643482685,2,23.29113924,23,12,33,1840,,,
0,6.407707725,5.882036689,1.510958882,11.46522403,3,21,21,12,29,1659,,,
0,5.75643794,6.523241208,3.490105817,15.28696537,4,60.64556962,60,35,83,4791,,,
1,6.709964959,6.138819528,1.823977568,0,0,18.10126582,19,9,23,1430,,,
1,6.279999119,6.985394439,1.989761504,3.821741343,1,14.81012658,15,9,20,1170,,,
1,6.213777766,7.055880746,2.264525157,7.643482685,2,11.18987342,11,7,15,884,,,
1,6.251004884,6.084087402,2.423097129,11.46522403,3,17.4556962,18,11,24,1379,,,
1,6.317692191,5.803060678,2.002980584,15.28696537,4,23.20253165,23,14,29,1833,,,
4,6.620592684,6.613069079,1.431588226,0,0,141.4303797,144,62,211,11173,,1.416887221,
4,6.466594863,6.729620295,1.451626616,3.821741343,1,200.1898734,195,94,298,15815,,1.326896618,0.194167586
4,6.44785266,6.755765535,1.43744209,7.643482685,2,216.3037975,211,124,330,17088,,1.173161956,0.035157425
4,6.509219477,6.693577452,1.397602639,11.46522403,3,205.164557,202,119,297,16208,,1.081672713,0.096023047
4,6.398965722,6.240426209,1.596412731,15.28696537,4,112.5189873,115,63,157,8889,,0.918779416,0.506978689
5,6.184186271,5.98380453,3.773897918,0,0,92.53164557,96,43,134,7310,,,
5,6.263675484,5.946644937,3.77267292,3.821741343,1,104.0253165,100,62,154,8218,,,
5,6.562265206,5.953194761,3.446330652,7.643482685,2,76.97468354,75,40,113,6081,,,
5,6.282389451,6.000730538,3.342491179,11.46522403,3,84.10126582,85,44,116,6644,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,6.608862794,5.347749557,2.069082001,22.93044806,6,,,,,,,,
,6.253945899,5.513180914,1.937126653,26.7521894,7,,,,,,,,
,6.158588463,5.640134938,1.656539263,30.57393074,8,,,,,,,,
,6.126460057,5.722922483,1.682804351,34.39567208,9,,,,,,,,
,6.399294992,5.420973424,2.011927638,38.21741343,10,,,,,,,,
