LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID507039,507039,12,36.38063430786133,4.7616711900428985,1.5920922346578998,3.9718812540512767,30.580608367919922,8,0.1,1,,0.012658227848101266,0.0,0.0,1.0,1.0,0.1125087900926024,12.784810126582279,14.0,5.0,18.0,1010.0,4.46258199975211,-0.838854073410922,-1.1713415146307602,0.16276466807162068,0.8020591153788426
ID507061,507061,12,29.664302825927734,4.789355085478093,1.4712397974998064,4.000000000000001,34.40318441390991,9,0.1,1,,0.11392405063291139,0.0,0.0,1.0,9.0,0.3197491714129678,11.658227848101266,13.0,4.0,17.0,921.0,4.393719515193125,-0.40133037694013307,-0.47769511132362735,0.17152387144189732,0.776968896592565
ID507048,507048,12,43.39626693725586,4.734195378748053,1.407563239247645,3.9702809608700016,38.2257604598999,10,0.1,1,,1.4556962025316456,1.0,0.0,4.0,115.0,1.0227848904656744,16.49367088607595,18.0,6.0,24.0,1303.0,6.033822230626966,0.07823731638712365,0.20654563834142883,0.1865094872952577,0.8593785753949558
ID507080,507080,12,36.131263732910156,4.713029871464715,1.4122694847633213,3.97089976294343,42.04833650588989,11,0.1,1,,0.17721518987341772,0.0,0.0,1.0,14.0,0.38429067760552654,13.658227848101266,16.0,5.0,18.0,1079.0,4.9195738713454435,-0.3205715826368294,-0.43516344349806774,0.10930244512602594,0.5471126670364419
ID507047,507047,18,42.782230377197266,4.704646786534991,1.228505674482767,3.29933846519395,38.2257604598999,10,0.1,1,,0.6962025316455697,1.0,0.0,3.0,55.0,0.8062962231591362,40.49367088607595,41.0,20.0,55.0,3199.0,8.866348680033763,-7.31787327462154E-4,-0.0012646599938882113,0.2891670519331796,2.048858415551168
ID507078,507078,18,58.73068618774414,4.72427804775402,1.1792747417056835,3.271669494895973,42.04833650588989,11,0.1,1,,0.0759493670886076,0.0,0.0,1.0,6.0,0.2666098608758891,56.721518987341774,57.0,35.0,78.0,4481.0,11.103171998682502,-0.5339805825242717,-0.6528289401584271,0.302871929811809,2.375133789737834
ID507068,507068,18,78.32362365722656,4.657042669172348,1.1000856980388978,3.3009633997992,45.87091255187988,12,0.1,1,,1.9113924050632911,2.0,1.0,3.0,151.0,0.6639020899724468,71.36708860759494,71.0,41.0,99.0,5638.0,14.86708394423293,0.3068093034437166,1.3518612604633469,0.3147767280217912,2.2985438362582435
