,,,,,TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,,mt length,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Track ID,X,Y,Z,T,Frame,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Track ID,X,Y,Z,T,Frame,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,,,,,,,,,,,,,,,,,,
4.235123468,5.737137569,2.011945687,0,0,0,4.972348832,5.491668151,2.522503812,0,0,66.76190476,66,47,85,1402,11.70856422,1,0.929745165,3.425356892,6.39506926,2.229954507,0,0,64.80952381,67,40,81,1361,11.77547896,1.065891112,2,3.581646475,6.260407208,2.293544403,0,0,76.47619048,81,51,90,1606,11.35613952
4.267605182,5.728729166,1.88613694,3.82174015,1,0,4.286246887,5.708305215,2.713696861,3.82174015,1,96.0952381,96,64,120,2018,15.69683013,1,0.828021783,3.775459864,6.113405606,1.577485002,3.82174015,1,36.33333333,37,26,44,763,5.121848625,0.6967417,2,4.223112916,5.834812174,1.963465977,3.82174015,1,34.19047619,33,29,42,718,4.166761904
4.349781357,5.763539485,1.755033612,7.643480301,2,0,4.368764025,5.978259507,2.816991727,7.643480301,2,105.9047619,105,75,136,2224,18.58737411,1,1.083614354,3.901556676,5.969261517,1.111317173,7.643480301,2,6.952380952,7,6,9,146,0.973457265,0.810924024,2,4.17889384,5.94234168,1.693964067,7.643480301,2,41.28571429,41,32,52,867,6.588951792
4.422078532,5.85141541,1.731476615,11.46522045,3,0,4.668273056,6.441952514,2.749413044,11.46522045,3,125.6666667,122,104,158,2639,17.00686136,1,1.202306279,3.933418914,7.116138292,1.503377551,11.46522045,3,15.52380952,15,12,19,326,2.159144451,1.374896859,2,4.383057119,5.945874815,1.593450316,11.46522045,3,22.85714286,22,18,29,480,3.424700195
4.381213772,6.044265755,1.820978385,15.2869606,4,0,5.358571299,6.516443757,2.169887837,15.2869606,4,50.0952381,50,39,64,1052,7.771130947,1,1.140139293,4.519259214,7.185379415,2.044433937,15.2869606,4,49.38095238,49,37,59,1037,7.074434186,1.17095231,2,4.69733581,6.09564935,1.960623376,15.2869606,4,6.380952381,6,5,8,134,1.116968687
4.431854375,5.925296977,1.700919687,19.10870075,5,0,5.486556679,6.637621315,1.461175496,19.10870075,5,36.14285714,36,28,45,759,5.140872633,1,1.295098525,4.182402066,7.000098928,1.98815864,19.10870075,5,14.23809524,15,10,18,299,2.586595483,1.140145563,2,4.378674117,6.103984935,1.827467748,19.10870075,5,16.95238095,16,14,22,356,2.438774087
4.272973305,6.14323933,1.851766429,22.9304409,6,,,,,,,,,,,,,1,,3.977723613,7.223648446,1.294876906,22.9304409,6,58.04761905,59,44,71,1219,8.303470301,1.250832594,2,4.193227624,6.40030476,2.092371591,22.9304409,6,21.95238095,22,16,26,461,2.74729304
