TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,,,,
Track ID,X,Y,Z,T,Frame,Max intensity ch2,Sum intensity ch2,,,,
Track ID,X,Y,Z,T,Frame,Max ch2,Sum ch2,,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),,,,
0,4.670089697,6.442007645,2.748659847,0,0,158,8918,,1.202069239,,1.865579862
0,5.360275166,6.515019443,2.154828734,3.82174015,1,64,3542,,1.136497384,,
0,5.480703541,6.632769141,1.46852829,7.643480301,2,45,2572,,1.286315357,,
0,3.980134467,7.217105842,1.299093812,11.46522045,3,71,4115,,1.242735246,,
2,5.267912863,6.471473175,1.505098397,7.643480301,2,39,2329,,1.017668027,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,4.422078532,5.85141541,1.731476615,11.46522045,3,,,,,,
,4.381213772,6.044265755,1.820978385,15.2869606,4,,,,,,
,4.431854375,5.925296977,1.700919687,19.10870075,5,,,,,,
,4.272973305,6.14323933,1.851766429,22.9304409,6,,,,,,
