TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,,,,,,,,,,,
Track ID,X,Y,Z,T,Frame,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,,,,,,,,,,,
Track ID,X,Y,Z,T,Frame,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,,,,,,,,,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),,,,,,,,,,,,,,,
1,4.076040385,7.446454104,1.991270869,0,0,136,7866,18.65728946,0.345743266,1.726718304,0.297768767,2.449007536,,,,,,,,,,,
1,3.868032082,7.737229588,2.233272953,3.82,1,224,12597,33.37886536,0.200621598,1.389103645,0.322292362,2.328739918,,,,,,,,,,,
1,3.90744192,7.616293661,1.598086251,7.64,2,171,9381,27.72366773,0.268809954,1.29868242,0.340239652,2.174722351,,,,,,,,,,,
1,3.747055271,7.721185304,1.607086253,11.46,3,144,7967,22.07567905,0.225952921,0.589568141,0.33056407,2.269883172,,,,,,,,,,,
3,3.903046376,7.578810194,2.599815574,0,0,24,1055,3.63754628,-0.040781585,-0.045896724,0.190353063,1.174169816,,,,,,,,,,,
3,3.725053955,7.982258476,2.7,3.82,1,32,1754,4.288863775,-1,#NAME?,0.163204966,1.452671325,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0,4.431854375,5.925296977,1.700919687,19.10870075,5,107.8740741,104,31,197,14563,1,5.153335269,2.517582701,3.174202298,19.10870075,5,9.740740741,9,3,18,1315,0.318478346,3.782011756
0,4.272973305,6.14323933,1.851766429,22.9304409,6,134.6296296,135,48,223,18175,1,5.204198351,2.661815412,2.80632427,22.9304409,6,18.26666667,18,7,30,2466,0.382174015,3.728092441
0,4.253549718,5.937001069,1.83690701,26.75218105,7,111.7777778,110,49,183,15090,1,5.27194442,2.456792654,3.046605601,26.75218105,7,17.65185185,17,8,28,2383,0.445869684,3.822610242
0,4.130334838,6.025918078,1.950725918,30.5739212,8,111.2148148,111,44,186,15014,1,5.311048534,2.510538533,2.928683107,30.5739212,8,11.43703704,11,4,18,1544,0.509565353,3.835150381
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1.588970235,1.954931629,,,,,,,,,,,,,,,,,,,,,
,1.688291908,2.0980246,,,,,,,,,,,,,,,,,,,,,
,1.731141118,,,,,,,,,,,,,,,,,,,,,,
,1.77170043,,,,,,,,,,,,,,,,,,,,,,
