TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,,,,,,,,
Track ID,X,Y,Z,T,Frame,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,,,,,,,,
Track ID,X,Y,Z,T,Frame,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,,,,,,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),,,,,,,,,,,,
0,4.613863791,2.785068446,1.918398377,0,0,88,5348,12.90930337,-1,#NAME?,0.26572309,2.201821391,,,,,2.202056148,,,2.298397308
0,4.363777938,2.598863041,1.701602346,3.82174015,1,127,6970,19.96211114,0.216448962,0.890963531,0.33224313,2.204457513,,,,,2.231377844,0.379757693,3.832410566,2.216528257
0,4.372565304,2.596559105,1.830441162,7.643480301,2,169,8914,27.28079553,0.353447749,1.603441965,0.35951414,2.187513544,,,,,2.174243611,0.129158687,,2.218259892
0,4.47449246,2.725688872,1.795521289,11.46522045,3,147,7782,24.17769337,0.224027201,0.897346608,0.354574758,2.13296683,,,,,2.069230968,0.16817562,,2.604533951
0,4.475704314,2.710160302,1.923804242,15.2869606,4,115,6095,18.99533587,0.302079325,1.141946266,0.353057978,2.119626108,,,,,1.960872147,0.129225079,,2.804581296
1,4.308774229,3.285312851,2.743861401,0,0,67,3799,10.34307631,0.25852602,0.972972365,0.298575891,2.138010678,,,,,1.210097379,,,
1,4.368731051,3.25096104,2.679553363,3.82174015,1,37,2078,5.91901419,0.247293201,1.263643594,0.310877896,2.107786751,,,,,1.105156179,,,2.963890204
1,4.404565596,3.245233016,2.537257705,7.643480301,2,33,1815,5.602139435,0.237433785,1.013728099,0.320501524,1.9907504,,,,,1.161192149,,,3.180946049
1,4.384217714,3.193516829,2.500348242,11.46522045,3,43,2366,6.310143918,-0.337504601,-0.263165967,0.311111026,2.252445612,,,,,1.204267813,,,
1,4.380187646,3.314376346,2.771816258,15.2869606,4,22,1246,3.186306306,0.011143337,0.020970376,0.29177364,2.236109461,,,,,0.95998736,,,3.199701686
,,,,,,,,,,,,,,,,,,,,
,3.968968043,3.760284392,2.944583221,0,0,99.59493671,101,56,134,7868,19.16093715,2,2.931371173,4.71747459,1.102073213,,,,,
,4.335725451,3.631466617,2.331822327,3.82174015,1,176.556962,183,91,241,13948,36.70315673,2,2.763695549,4.75742054,1.17368711,,,,,
,3.98427385,3.775835966,2.87535991,7.643480301,2,64.79746835,66,38,87,5119,12.13638284,2,2.767427731,4.772377352,1.002817301,,,,,
,3.969640298,3.768434305,3.184978109,11.46522045,3,50.07594937,50,24,71,3956,11.88488822,2,3.201336531,4.357956149,0.869876537,,,,,
,4.190903331,4.06539575,3.422611043,15.2869606,4,58.79746835,59,34,82,4645,12.50884789,2,3.155588042,4.262215107,0.902227413,,,,,
,4.189993271,3.943238856,3.49696177,19.10870075,5,60.97468354,60,34,86,4817,13.54288032,2,3.136598309,4.276389235,0.933149309,,,,,
,4.406497138,3.857235331,3.363972419,22.9304409,6,62.96202532,61,38,85,4974,12.08033265,2,3.412016833,4.107834707,0.92241187,,,,,
,4.249882218,4.000798331,3.718000982,26.75218105,7,70.94936709,71,40,97,5605,14.25131459,2,3.158786087,4.219985497,0.866546621,,,,,
,4.413646713,4.022597311,3.4190251,30.5739212,8,52.17721519,53,30,70,4122,10.27788202,2,3.171368341,4.250827149,0.828578032,,,,,
,4.444798239,3.987256374,3.500195272,34.39566135,9,41.49367089,43,20,60,3278,10.07137785,2,3.176336147,4.220093354,0.906401502,,,,,
,4.312436043,3.938694868,3.464074846,38.2174015,10,52.07594937,52,26,77,4114,13.39993509,2,3.053348801,4.623102495,0.716739872,,,,,
,4.288566651,3.906067297,3.466466076,42.03914165,11,36.34177215,36,20,52,2871,8.658604844,2,2.841887453,4.693879835,0.800783528,,,,,
,4.208977132,3.849620578,3.429384049,45.86088181,12,43.93670886,44,21,62,3471,10.61849109,,,,,,,,,
,4.243318652,3.812186969,3.351797795,49.68262196,13,42.46835443,43,19,63,3355,11.38919353,2,2.626811068,5.024707922,1.065805578,,,,,
,4.293267025,3.558192192,2.978869576,53.50436211,14,26.4556962,26,15,38,2090,5.843684885,2,2.387237849,5.261034322,1.128232645,,,,,
,4.238303521,3.523070081,3.185546742,57.32610226,15,30.41772152,31,13,45,2403,8.186304377,,,,,,,,,
,4.231048221,3.448371382,2.8155591,61.14784241,16,37.65822785,37,18,58,2975,10.14874765,2,2.34288222,5.3653854,1.400379299,,,,,
,4.415637768,3.496136504,2.830276174,64.96958256,17,41.55696203,42,20,61,3283,10.4534951,2,2.250906208,5.30776365,1.449821739,,,,,
,4.414490985,3.407712093,2.526996395,68.79132271,18,55.59493671,55,31,81,4392,12.86968111,2,2.279702023,5.418531066,1.42793941,,,,,
,4.386396166,3.368874599,2.090246297,72.61306286,19,36.2278481,38,17,53,2862,9.165080563,,,,,,,,,
