TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,,,,,,,,,,,,,,
Track ID,X,Y,Z,T,Frame,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,,,,,,,,,,,,,,
Track ID,X,Y,Z,T,Frame,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,,,,,,,,,,,,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,,,,,,
1,2.930624548,4.717690652,1.08286024,0,0,41.71851852,41,18,66,5632,12.04013924,3,3.965127046,3.758489818,2.923206338,0,0,84.37037037,84,33,134,11390,25.32792122,0,3.343598396
1,2.761344345,4.759272207,1.16437231,3.82174015,1,45.05185185,43,20,74,6082,13.82314656,3,4.206411555,3.957234569,3.031757848,3.82174015,1,10.44444444,11,4,15,1410,2.624985193,0.063695669,3.603239867
1,2.764805956,4.774438943,0.996921754,7.643480301,2,28.17037037,28,11,45,3803,8.813609507,3,3.983034553,3.778333093,2.861580888,7.643480301,2,55.22962963,54,22,87,7456,15.8824698,0.127391338,3.516953726
1,3.201301341,4.362449748,0.861318802,11.46522045,3,21.66666667,21,7,40,2925,8.268804891,3,3.969707727,3.770902676,3.185510717,11.46522045,3,41.1037037,40,12,71,5549,15.03591426,0.191087008,3.303391592
1,3.154383926,4.262236464,0.90248418,15.2869606,4,20.68148148,19,7,39,2792,8.215976293,3,4.193575342,4.064199103,3.440033811,15.2869606,4,48.45185185,48,19,82,6541,16.50902897,0.254782677,3.559438291
1,3.133201006,4.279312305,0.923852818,19.10870075,5,11.65925926,11,5,21,1574,3.947723627,3,4.191801156,3.940335291,3.57442284,19.10870075,5,50.20740741,47,18,86,6778,18.016616,0.318478346,3.443318278
1,3.412494676,4.108534799,0.918834685,22.9304409,6,21.85925926,21,9,37,2951,6.902479506,3,4.404741062,3.857343856,3.377981237,22.9304409,6,53.11851852,53,23,85,7171,16.06937007,0.382174015,3.293666413
1,3.157185875,4.222781249,0.876097823,26.75218105,7,16.8962963,16,7,28,2281,5.159072684,3,4.247222979,4.002455852,3.678396097,26.75218105,7,59.34814815,58,23,97,8012,18.81858343,0.445869684,3.529516879
1,3.172627386,4.2534593,0.832930367,30.5739212,8,14.68148148,14,6,24,1982,4.504809788,3,4.417159854,4.019275849,3.512397173,30.5739212,8,45.45925926,46,19,70,6137,13.12839179,0.509565353,3.643188001
1,3.175709509,4.221736708,0.906973184,34.39566135,9,11.66666667,11,4,23,1575,4.902025168,3,4.447895036,3.98483313,3.553037945,34.39566135,9,33.71851852,32,12,60,4552,12.80313153,0.573261023,3.547438293
1,2.341634133,5.366652104,1.389481796,61.14784241,16,6.407407407,6,2,12,865,2.666252041,3,4.230870093,3.447966989,2.805627608,61.14784241,16,29.92592593,27,9,58,4040,12.49276186,1.019130707,3.66164116
1,2.25002745,5.311346228,1.430656542,64.96958256,17,5.325925926,5,2,10,719,1.950237757,3,4.413771619,3.495232788,2.847662526,64.96958256,17,33.65185185,32,11,61,4543,13.02197827,1.082826376,3.779759951
1,2.279382151,5.419244324,1.437255632,68.79132271,18,7.866666667,7,3,14,1062,2.898275349,3,4.414920552,3.408935815,2.512819762,68.79132271,18,44.87407407,41,17,81,6058,16.76725203,1.146522045,3.781638548
