TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,,,,,,,,,,,,,,
Track ID,X,Y,Z,T,Frame,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,,,,,,,,,,,,,,
Track ID,X,Y,Z,T,Frame,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,,,,,,,,,,,,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,,,,,,
43,3.968968043,3.760284392,2.944583221,0,0,99.59493671,101,56,134,7868,19.16093715,2,2.931371173,4.71747459,1.102073213,0,0,49.07594937,50,30,66,3877,9.096029215,0,2.321134091
43,4.335725451,3.631466617,2.331822327,3.82174015,1,176.556962,183,91,241,13948,36.70315673,2,2.763695549,4.75742054,1.17368711,3.82174015,1,53.79746835,54,33,74,4250,10.34702948,0.063695669,2.253958169
43,3.98427385,3.775835966,2.87535991,7.643480301,2,64.79746835,66,38,87,5119,12.13638284,2,2.767427731,4.772377352,1.002817301,7.643480301,2,33.29113924,34,18,45,2630,6.987446433,0.127391338,2.445449863
43,3.969640298,3.768434305,3.184978109,11.46522045,3,50.07594937,50,24,71,3956,11.88488822,2,3.201336531,4.357956149,0.869876537,11.46522045,3,26.67088608,26,14,40,2107,6.613353854,0.191087008,2.509486396
43,4.190903331,4.06539575,3.422611043,15.2869606,4,58.79746835,59,34,82,4645,12.50884789,2,3.155588042,4.262215107,0.902227413,15.2869606,4,25.82278481,25,13,39,2040,6.470365372,0.254782677,2.731839901
43,4.189993271,3.943238856,3.49696177,19.10870075,5,60.97468354,60,34,86,4817,13.54288032,2,3.136598309,4.276389235,0.933149309,19.10870075,5,14.12658228,14,8,21,1116,3.081654104,0.318478346,2.791731444
43,4.406497138,3.857235331,3.363972419,22.9304409,6,62.96202532,61,38,85,4974,12.08033265,2,3.412016833,4.107834707,0.92241187,22.9304409,6,26.25316456,26,15,37,2074,5.157688695,0.382174015,2.648208647
43,4.249882218,4.000798331,3.718000982,26.75218105,7,70.94936709,71,40,97,5605,14.25131459,2,3.158786087,4.219985497,0.866546621,26.75218105,7,20.16455696,20,13,28,1593,3.824450286,0.445869684,3.060935438
43,4.413646713,4.022597311,3.4190251,30.5739212,8,52.17721519,53,30,70,4122,10.27788202,2,3.171368341,4.250827149,0.828578032,30.5739212,8,17.49367089,18,11,24,1382,3.38879533,0.509565353,2.881971621
43,4.444798239,3.987256374,3.500195272,34.39566135,9,41.49367089,43,20,60,3278,10.07137785,2,3.176336147,4.220093354,0.906401502,34.39566135,9,14.62025316,15,7,23,1155,4.032889775,0.573261023,2.896718015
43,4.312436043,3.938694868,3.464074846,38.2174015,10,52.07594937,52,26,77,4114,13.39993509,2,3.053348801,4.623102495,0.716739872,38.2174015,10,13.79746835,14,6,21,1090,3.867616197,0.636956692,3.098639047
43,4.288566651,3.906067297,3.466466076,42.03914165,11,36.34177215,36,20,52,2871,8.658604844,2,2.841887453,4.693879835,0.800783528,42.03914165,11,5.658227848,6,3,8,447,1.164496986,0.700652361,3.13359103
43,4.208977132,3.849620578,3.429384049,45.86088181,12,43.93670886,44,21,62,3471,10.61849109,,,,,,,,,,,,,,
43,4.243318652,3.812186969,3.351797795,49.68262196,13,42.46835443,43,19,63,3355,11.38919353,2,2.626811068,5.024707922,1.065805578,49.68262196,13,6.873417722,7,4,10,543,1.643691036,0.828043699,3.051075917
43,4.293267025,3.558192192,2.978869576,53.50436211,14,26.4556962,26,15,38,2090,5.843684885,2,2.387237849,5.261034322,1.128232645,53.50436211,14,5.708860759,6,3,9,451,1.494879283,0.891739368,3.155546797
43,4.238303521,3.523070081,3.185546742,57.32610226,15,30.41772152,31,13,45,2403,8.186304377,,,,,,,,,,,,,,
43,4.231048221,3.448371382,2.8155591,61.14784241,16,37.65822785,37,18,58,2975,10.14874765,2,2.34288222,5.3653854,1.400379299,61.14784241,16,8,8,4,12,632,2.130366527,1.019130707,3.040205168
43,4.415637768,3.496136504,2.830276174,64.96958256,17,41.55696203,42,20,61,3283,10.4534951,2,2.250906208,5.30776365,1.449821739,64.96958256,17,6.518987342,6,4,10,515,1.55134978,1.082826376,3.142246027
43,4.414490985,3.407712093,2.526996395,68.79132271,18,55.59493671,55,31,81,4392,12.86968111,2,2.279702023,5.418531066,1.42793941,68.79132271,18,9.64556962,10,5,14,762,2.304054257,1.146522045,3.131875334
43,4.386396166,3.368874599,2.090246297,72.61306286,19,36.2278481,38,17,53,2862,9.165080563,,,,,,,,,,,,,,2.840859583
