TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,,
Track ID,X,Y,Z,T,Frame,Max intensity ch2,Sum intensity ch2,,
Track ID,X,Y,Z,T,Frame,Max ch2,Sum ch2,,
,(micron),(micron),(micron),(sec),,(counts),(counts),,
1,1.993816912,3.441847291,1.141282653,0,0,91,4855,,3.962008273
1,2.126345009,3.391341985,1.152458412,3.822578907,1,96,5459,,
1,1.894663466,3.076361966,1.471854124,7.645157814,2,47,2818,,
1,1.615203616,2.851857011,1.488202093,11.46773672,3,52,2953,,
6,2.260006128,3.444693601,1.132140513,7.645157814,2,46,2599,,
6,2.090498068,3.423180649,1.050081811,11.46773672,3,44,2391,,
,,,,,,,,,
,,,,,,,,,
,5.679723476,4.894982644,3.302236888,11.46773672,3,,,,
,6.00040984,5.078808423,3.213330197,15.29031563,4,,,,
,6.245886469,5.352204412,3.125278199,19.11289454,5,,,,
,6.443984587,5.600791239,3.071642089,22.93547344,6,,,,
