TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,,
Track ID,X,Y,Z,T,Frame,Min intensity ch2,Max intensity ch2,Sum intensity ch2,,
Track ID,X,Y,Z,T,Frame,Min ch2,Max ch2,Sum ch2,,
,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),,
0,1.615203616,2.851857011,1.488202093,0,0,19,52,2953,,
0,1.578526842,2.919111734,1.378813236,3.822578907,1,19,55,3116,,
0,1.527356851,3.000925425,1.502381044,7.645157814,2,23,57,3210,,
0,1.589400032,3.17019432,1.28732494,11.46773672,3,15,48,2488,,
0,1.31907243,3.115939827,1.543649831,15.29031563,4,8,30,1548,,
1,2.090498068,3.423180649,1.050081811,0,0,14,44,2391,,
1,2.160865189,3.406016321,1.03895588,3.822578907,1,18,39,2198,,
1,2.234034086,3.472295681,1.089235491,7.645157814,2,10,29,1547,,
1,2.655697936,3.481398293,1.482323382,11.46773672,3,7,19,1040,,
1,2.284792646,3.509629251,1.238378555,15.29031563,4,16,41,2201,,
2,1.019520657,2.285656768,1.672966374,0,0,12,28,1531,,0.918118479
2,0.870691848,2.365408386,1.599596748,3.822578907,1,4,10,559,,0.972150477
2,0.840444177,2.362438702,1.586792005,7.645157814,2,5,15,804,,0.980945694
2,0.842048519,2.427586348,1.515354425,11.46773672,3,3,7,388,,1.084454931
2,1.076101304,2.56303999,1.604084336,15.29031563,4,10,27,1463,,0.57413432
22,1.251565431,2.649094726,1.463534022,3.822578907,1,4,13,707,,
22,1.208267406,2.593492449,1.801592715,7.645157814,2,7,22,1103,,
22,1.259922203,2.70893111,1.468825311,11.46773672,3,16,48,2551,,
22,1.527112597,2.814324182,1.377830775,15.29031563,4,3,7,407,,
,,,,,,,,,,
,,,,,,,,,,
,1.703859282,2.842646153,1.419224354,26.75805235,7,,,,,
,1.699644599,2.854410405,1.462516796,30.58063126,8,,,,,
,1.681061838,2.831988075,1.399335907,34.40321016,9,,,,,
,1.771826749,2.903780252,1.224159802,38.22578907,10,,,,,
,1.503299131,2.823472302,1.322468916,42.04836798,11,,,,,
