LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID708864,708864,1,100.4676284790039,1.4003523072403548,1.7711320612430888,2.509450934791138,0.0,0,0.1,1,,0.0,0.0,0.0,0.0,0.0,0.0,85.64556962025317,84.0,52.0,120.0,6766.0,17.82035567192577,-1.0,-Infinity,0.3166562069753978,2.311714220449189
ID708855,708855,1,69.46077728271484,1.472369066156007,1.6289823094928702,2.7896640004141666,3.8225772380828857,1,0.1,1,,0.0,0.0,0.0,0.0,0.0,0.0,59.65822784810127,60.0,36.0,80.0,4713.0,10.33277840852727,-1.0,-Infinity,0.27881070032047905,2.517598111093584
ID708875,708875,1,90.95380401611328,1.5173714502815034,1.4966029975030486,2.889435864849678,7.6451544761657715,2,0.1,1,,1.5316455696202531,1.0,0.0,3.0,121.0,0.7309186884865086,80.78481012658227,82.0,39.0,108.0,6382.0,16.78573179669762,0.12713958573221376,0.47273994214682047,0.2660946925882718,2.0229700295512356
ID708882,708882,1,147.72589111328125,1.2676608252185724,1.589864194649111,2.509924767167772,11.467731714248657,3,0.1,1,,1.2278481012658229,1.0,0.0,3.0,97.0,0.7671018902103535,113.29113924050633,114.0,54.0,168.0,8950.0,28.201723851081713,0.3253629376601196,0.7858774811524852,0.3542614788056187,2.1017046727017163
ID708844,708844,1,144.9265899658203,1.2756224698271026,1.458053154912607,2.4102544285150045,15.290308952331543,4,0.1,1,,1.5316455696202531,1.0,0.0,3.0,121.0,0.6949532918813944,123.37974683544304,124.0,60.0,181.0,9747.0,30.61728345377709,0.24412709746519098,0.8649358468932669,0.34833662611894034,2.0821308780097896
ID708889,708889,1,105.84102630615234,1.2332222141705453,1.278098010417889,2.4819325386632975,19.11288619041443,5,0.1,1,,1.3670886075949367,1.0,0.0,4.0,108.0,0.9497262114227563,90.87341772151899,92.0,43.0,128.0,7179.0,20.717493591975074,0.21796879894743437,0.5152125148616643,0.320743098133056,2.1304366000868207
ID708898,708898,1,122.06884765625,1.2047825477030238,1.2662346665075848,2.646495168668835,22.935463428497314,6,0.1,1,,2.949367088607595,3.0,1.0,6.0,233.0,1.4667138760806657,98.58227848101266,97.0,47.0,143.0,7788.0,25.31068872971923,0.31182408920654037,0.9559770922275356,0.31829688951749724,1.880806216361026
