LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID589262,589262,8,50.12076187133789,5.016955544392207,4.644734575951008,2.3027600569324798,0.0,0,0.1,1,,47.89873417721519,48.0,26.0,66.0,3784.0,10.253948503655154,0.08860759493670886,0.0,0.0,1.0,7.0,0.2859923532114514,0.3020115497324752,2.1670633894364166,-0.12484806389998261,-0.08839849621254747
ID589210,589210,8,40.82202911376953,5.036437877458597,4.67561250463637,2.135934939330592,3.8225772380828857,1,0.1,1,,39.48101265822785,39.0,22.0,54.0,3119.0,8.042930897559339,0.22784810126582278,0.0,0.0,1.0,18.0,0.4221242704558541,0.29693018044682895,2.2477172949398314,0.21496203243648632,0.1910003396784844
ID589634,589634,8,28.123586654663086,5.028590766888424,4.723074718322112,1.9585251586423706,7.6451544761657715,2,0.1,1,,27.329113924050635,27.0,17.0,37.0,2159.0,5.224992992235128,0.0,0.0,0.0,0.0,0.0,0.0,0.2899981328188212,2.3516677009221576,NaN,NaN
ID589454,589454,8,18.855369567871094,4.957978210739178,4.807337909867664,2.225806590372954,11.467731714248657,3,0.1,1,,16.481012658227847,17.0,8.0,24.0,1302.0,4.355546889308611,0.0,0.0,0.0,0.0,0.0,0.0,0.3464322647362978,1.9471751478662425,-1.0,-Infinity
ID589349,589349,8,14.13040542602539,5.051087124315059,4.806915719308023,2.2512160004133883,15.290308952331543,4,0.1,1,,10.772151898734178,11.0,5.0,18.0,851.0,3.104791033426622,0.0,0.0,0.0,0.0,0.0,0.0,0.35950636020528387,1.8349550218993258,-1.0,-Infinity
ID589136,589136,8,16.282028198242188,4.982009893780956,4.750606254427842,2.0680506961470675,19.11288619041443,5,0.1,1,,12.658227848101266,12.0,7.0,19.0,1000.0,3.285110449493043,0.0,0.0,0.0,0.0,0.0,0.0,0.3674382563642856,2.0707590801385374,NaN,NaN
ID589700,589700,8,8.044095993041992,4.92789056098568,4.711982300550195,2.2136005066655686,22.935463428497314,6,0.1,1,,6.9113924050632916,7.0,4.0,10.0,546.0,1.7627911537492043,0.9620253164556962,1.0,0.0,2.0,76.0,0.5416744687726119,0.3146814793510867,1.8769181024357675,0.4572181832707517,1.1144922235125412
