LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID19328800,19328800,0,14.679985046386719,2.5280709799300034,6.554617127053659,3.00860302563487,0.0,0,0.115,1,,89.99259259259259,90.0,36.0,146.0,12149.0,28.128568442622324,0.3400284076985912,1.6236421820603941
ID19328810,19328810,0,13.343452453613281,2.5695463942512484,6.593372451032727,2.9436653002832647,3.8225772380828857,1,0.115,1,,79.0,79.0,33.0,131.0,10665.0,25.187061355019022,0.35232253928651874,1.6343299057844751
ID19328806,19328806,0,9.650245666503906,2.6233898309473846,6.730137138523758,3.005647200827876,7.6451544761657715,2,0.115,1,,57.2,54.0,25.0,95.0,7722.0,17.67864045559525,0.35058479392407,1.6797644305054775
ID19328814,19328814,0,8.291519165039062,2.688517416368011,6.7314350471773166,2.954789627952963,11.467731714248657,3,0.115,1,,41.022222222222226,38.0,15.0,75.0,5538.0,15.689366427790278,0.4063633994266125,1.510987257366063
ID19328792,19328792,0,6.713050842285156,2.6186982493350146,6.630941811696671,2.918284120145895,15.290308952331543,4,0.115,1,,35.51851851851852,34.0,11.0,63.0,4795.0,13.252908355466202,0.38452186467079513,1.4886577576136855
ID19328804,19328804,0,5.228605270385742,2.741914458561932,6.772144900118824,2.7801203305052766,19.11288619041443,5,0.115,1,,26.903703703703705,26.0,7.0,49.0,3632.0,10.972743758203555,0.39411834179756705,1.3862891858769157
ID19328794,19328794,0,5.032712936401367,2.8579218230478527,6.827979916766796,2.8450251663225536,22.935463428497314,6,0.115,1,,26.37037037037037,25.0,8.0,47.0,3560.0,10.105961548364702,0.3894713555451967,1.4628321872399743
ID19328797,19328797,0,3.9882888793945312,2.8577974896339997,6.982315581613855,2.894615427212314,26.7580406665802,7,0.115,1,,21.05185185185185,20.0,7.0,37.0,2842.0,7.714416160300548,0.3858194034734619,1.519478868407993
ID19328828,19328828,0,3.1360416412353516,2.949353530600132,7.085443590448003,2.81502740490213,30.580617904663086,8,0.115,1,,16.488888888888887,16.0,5.0,29.0,2226.0,6.35735168116488,0.38983976279129723,1.4550119225798186
ID19328817,19328817,0,3.8897323608398438,2.9498423697126332,6.938918627420579,2.96157884527736,34.40319514274597,9,0.115,1,,22.11111111111111,22.0,9.0,37.0,2985.0,7.2489491432615285,0.3647735002984826,1.6305278050391447
ID19328826,19328826,0,3.8459720611572266,2.885037281234369,6.9027398750819575,2.839279008073083,38.22577238082886,10,0.115,1,,22.962962962962962,23.0,9.0,38.0,3100.0,7.232191104379073,0.35038435338907764,1.6476893498146323
ID19328818,19328818,0,2.121870994567871,2.9894545158870147,6.902872803463491,2.8671850666602037,42.04834961891174,11,0.115,1,,14.62962962962963,14.0,5.0,22.0,1975.0,4.02740748569498,0.3077015869611838,1.709459592263366
ID19328824,19328824,0,3.717924118041992,2.8233309202594725,6.862255784531808,2.8821807691301733,45.87092685699463,12,0.115,1,,17.94074074074074,17.0,5.0,35.0,2422.0,7.51293706401201,0.4148978000204584,1.4004792414753748
ID19328820,19328820,0,2.3939342498779297,2.7309452938349335,6.795904205339116,2.8203295129535504,49.693504095077515,13,0.115,1,,12.25925925925926,12.0,4.0,22.0,1655.0,4.849931470454394,0.3973286389389757,1.4375068821113701
ID19328830,19328830,0,2.414562225341797,2.7240936158705833,6.867021289303318,2.7949258149339173,53.5160813331604,14,0.115,1,,12.325925925925926,12.0,4.0,23.0,1664.0,5.063521324476406,0.3965601456335834,1.382440113546016
ID19328822,19328822,0,2.3696680068969727,2.723876232425364,6.825064992936033,3.060921719356564,57.338658571243286,15,0.115,1,,11.185185185185185,10.0,4.0,22.0,1510.0,4.689119169402024,0.42363791647382715,1.419636580714675
ID19328832,19328832,0,1.8342552185058594,2.6590991809088997,6.793385784897359,2.966690695475652,61.16123580932617,16,0.115,1,,9.725925925925926,9.0,3.0,17.0,1313.0,3.5205783735097147,0.3909047436263084,1.5528177572525075
ID19328835,19328835,0,1.3692102432250977,2.626944693446988,6.705839168256195,3.045753192526779,64.98381304740906,17,0.115,1,,7.007407407407407,7.0,2.0,13.0,946.0,2.67240262041788,0.3959262434396628,1.4874325870920706
ID19328838,19328838,0,2.89730167388916,2.352319594300046,6.6367757103782115,2.7695737492921553,68.80639028549194,18,0.115,1,,14.674074074074074,13.0,5.0,27.0,1981.0,5.661904154185983,0.4036204455778556,1.4905332253054027
ID19328799,19328799,2,39.53619384765625,5.298991657630548,2.6907888084741836,2.850794779572183,0.0,0,0.115,1,,236.33333333333334,225.0,102.0,394.0,31905.0,73.2446320176638,0.3470974094280588,1.6627675717041908
ID19328809,19328809,2,26.110626220703125,5.289176662630811,2.692157982775745,2.7934965809148777,3.8225772380828857,1,0.115,1,,159.0222222222222,149.0,74.0,261.0,21468.0,47.90342689680678,0.3408833625180385,1.687858495010509
ID19328807,19328807,2,19.151397705078125,5.201736353475179,2.65560790094439,3.1007946933179684,7.6451544761657715,2,0.115,1,,121.32592592592593,116.0,55.0,195.0,16379.0,35.502959647412716,0.3306913217864151,1.6984959853155428
ID19328815,19328815,2,9.781082153320312,5.275173552906481,2.6082386658959256,3.1582864246696767,11.467731714248657,3,0.115,1,,53.2962962962963,52.0,16.0,94.0,7195.0,20.44945500644961,0.37311547354371133,1.416385545800274
