TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,,,,,,,,,,,,,
Track ID,Quality,X,Y,Z,T,Frame,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,,,,,,,,,,,,,
Track ID,Quality,X,Y,Z,T,Frame,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,,,,,,,,,,,,,
,(quality),(micron),(micron),(micron),(sec),,(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,,,,,
0,29.03024292,3.284971,3.367992033,2.205970257,0,0,153.9555556,148,47,276,20784,59.26173499,1,10.87068558,4.935027373,3.174717424,1.851780325,0,0,54.55555556,52,16,103,7365,23.1283462
0,29.00282288,3.353205047,3.368199085,2.245056181,3.822578907,1,148.1333333,143,50,270,19998,57.58728612,1,7.001529694,4.987790465,3.134681035,1.88744463,3.822578907,1,35.05925926,33,11,65,4733,14.21412109
0,24.4460144,3.38530627,3.210216277,2.272957238,7.645157814,2,123.5703704,120,41,229,16682,50.1126404,1,3.928602219,5.016179959,3.271355865,1.925301111,7.645157814,2,19.54074074,18,5,37,2638,8.17144917
0,17.94506073,3.418550763,3.059064948,2.315017499,11.46773672,3,93.04444444,85,34,168,12561,35.83291797,1,5.302146912,5.053104353,3.35572981,1.964363676,11.46773672,3,25.48888889,24,8,49,3441,10.50079362
0,12.16906738,3.446869826,3.073351041,2.292940758,15.29031563,4,66.02222222,62,26,116,8913,23.41496736,1,4.192453384,5.086063778,3.365846367,1.950022983,15.29031563,4,22.26666667,22,6,40,3006,8.650079803
0,14.46434784,3.304071537,3.114280772,2.336437463,19.11289454,5,78.28148148,76,23,138,10568,31.28579189,1,2.052117348,4.947546394,3.270121903,1.858097142,19.11289454,5,10.43703704,10,3,20,1409,4.227852578
0,12.44524765,3.417181386,3.192937569,2.217218261,22.93547344,6,66.88148148,61,27,116,9029,23.48580132,1,2.380622864,5.046492957,3.305405196,1.859347454,22.93547344,6,12.58518519,12,4,23,1699,4.978139053
0,7.814842224,3.457905369,3.288417704,2.123273537,26.75805235,7,42.37037037,40,14,74,5720,15.60077531,1,2.478104591,5.077193041,3.234690223,1.966077265,26.75805235,7,11.94074074,11,4,23,1612,4.889469286
0,5.385061264,3.603818483,3.028932943,2.251774053,45.87094688,12,26.7037037,24,9,51,3605,11.02038415,1,0.91623354,5.149992978,3.321889909,1.91804406,45.87094688,12,5.177777778,5,2,9,699,1.92340908
0,6.430431366,3.626994588,2.951960613,2.049092482,49.69352579,13,32.48148148,31,11,60,4385,12.84107905,1,1.764464378,5.139486795,3.329525261,1.785320305,49.69352579,13,9.733333333,9,4,18,1314,3.528561501
