LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID17833891,17833891,1,10.208724975585938,3.010895818590966,4.864650546188169,1.7435376571946501,0.0,0,0.115,1,,52.666666666666664,52.0,17.0,95.0,7110.0,20.44285811135991,0.39028517482766606,1.4464465053608295
ID17833904,17833904,1,8.884117126464844,2.9874696390219486,4.955500376133568,1.9061255871645617,3.8225789070129395,1,0.115,1,,45.525925925925925,43.0,12.0,83.0,6146.0,18.19579647603966,0.39256603754545943,1.4106349433279008
ID17833869,17833869,1,4.524593353271484,3.153805812284837,4.982625033870224,1.998575420750876,7.645157814025879,2,0.115,1,,23.362962962962964,21.0,8.0,43.0,3154.0,9.032782258774917,0.3912473558213897,1.454733494258701
ID17833877,17833877,1,4.01983642578125,3.2266329399912395,4.9941512643176695,1.8650161011892905,11.467736721038818,3,0.115,1,,21.177777777777777,20.0,7.0,38.0,2859.0,8.013856159631498,0.3869740830978903,1.4746276518745882
ID17833917,17833917,1,3.572835922241211,3.1149715240662075,4.857929331967536,2.077118934372409,15.290315628051758,4,0.115,1,,18.6,18.0,5.0,34.0,2511.0,7.500447747828824,0.38961313934847713,1.3905782514369536
ID17833915,17833915,1,3.4100990295410156,3.149862626677119,4.924748523924394,2.187944202629796,19.112894535064697,5,0.115,1,,17.562962962962963,16.0,5.0,32.0,2371.0,6.913762402507002,0.392733202971024,1.4326596214138305
ID17833885,17833885,1,2.7727813720703125,3.1625646551789943,4.885325341096836,2.0655415524039795,22.935473442077637,6,0.115,1,,14.185185185185185,13.0,5.0,27.0,1915.0,5.523606307889349,0.3923787936769597,1.447406157994348
ID17833920,17833920,1,1.5017361640930176,3.142562136429118,4.984363719497872,1.9505516947910384,26.758052349090576,7,0.115,1,,8.511111111111111,8.0,3.0,15.0,1149.0,2.854341199224794,0.35815115373433776,1.5726374638927176
ID17833925,17833925,1,2.3095455169677734,3.2081041200556113,4.983562775602336,2.1216204839067507,30.580631256103516,8,0.115,1,,12.222222222222221,12.0,4.0,22.0,1650.0,4.531262330571661,0.38041407341547057,1.486648040052493
ID17833937,17833937,1,3.030061721801758,3.1669719744866263,4.995609695102737,1.7940660006691018,34.403210163116455,9,0.115,1,,18.25925925925926,18.0,8.0,30.0,2465.0,5.558324351498584,0.3452683444176849,1.686231135579366
ID17833941,17833941,1,1.7222375869750977,3.0312728561480697,4.8694886134710655,1.6071305970429495,38.225789070129395,10,0.115,1,,10.896296296296295,11.0,4.0,17.0,1471.0,3.305973955153059,0.3287886781032769,1.6310617646867382
ID17833926,17833926,1,0.9923191070556641,2.9819478111256954,5.0523737562018125,1.6240072768006186,42.048367977142334,11,0.115,1,,6.792592592592593,7.0,3.0,10.0,917.0,1.865220951644116,0.30628287348897293,1.7077360944247189
ID17833893,17833893,2,56.67364501953125,3.841769134719258,3.6935709031627715,2.476686251767592,0.0,0,0.115,1,,279.2962962962963,269.0,92.0,524.0,37705.0,113.74690903289817,0.40399619797370995,1.413080536662067
ID17833905,17833905,2,37.68803405761719,3.8716463408027946,3.7558643852421154,2.45733176280505,3.8225789070129395,1,0.115,1,,184.4148148148148,179.0,62.0,349.0,24896.0,76.14081467570712,0.40566233276104285,1.3979510339839947
ID17833870,17833870,2,26.8385009765625,3.8585974929668714,3.5620032343008687,2.33773905079971,7.645157814025879,2,0.115,1,,136.54074074074074,127.0,48.0,252.0,18433.0,53.320036692410895,0.39338617985051005,1.4459371314284455
ID17833878,17833878,2,17.135848999023438,3.8199973624702594,3.560134926291048,2.3524704921588984,11.467736721038818,3,0.115,1,,89.41481481481482,84.0,32.0,161.0,12071.0,34.52932674914228,0.3870179936776676,1.445108410173984
ID17833919,17833919,2,10.476390838623047,3.8258358860684645,3.437341614572442,2.2709897967227417,15.290315628051758,4,0.115,1,,54.525925925925925,50.0,19.0,100.0,7361.0,21.301611469287995,0.3875207860979829,1.4298026259143284
ID17833914,17833914,2,12.4451904296875,3.8246433998236355,3.500604458016463,2.2493710907921414,19.112894535064697,5,0.115,1,,64.1037037037037,58.0,24.0,117.0,8654.0,24.586513131618624,0.3911336089301706,1.4661299611209762
ID17833886,17833886,2,10.16659164428711,3.772115229080409,3.4676694491437754,2.1804229046155843,22.935473442077637,6,0.115,1,,51.837037037037035,51.0,14.0,95.0,6998.0,21.16855151503963,0.3936622652436068,1.3833920302616813
ID17833921,17833921,2,11.890716552734375,3.7566662992630455,3.5575310578784203,2.215852678967566,26.758052349090576,7,0.115,1,,57.162962962962965,53.0,18.0,108.0,7717.0,22.94972032067331,0.4160848031755501,1.4637264546650595
ID17833924,17833924,2,7.874362945556641,3.7798745277462653,3.530426348283279,2.107292677703618,30.580631256103516,8,0.115,1,,41.407407407407405,39.0,13.0,74.0,5590.0,15.191462791178658,0.3865500438088878,1.5197726294095706
ID17833938,17833938,2,9.280162811279297,3.8214937058618488,3.577643086763415,2.1470403300335033,34.403210163116455,9,0.115,1,,57.614814814814814,57.0,24.0,93.0,7778.0,16.924761152742775,0.3371186087372907,1.7165419066294758
ID17833942,17833942,2,7.592231750488281,3.77011757388374,3.555659629105162,2.025677050531873,38.225789070129395,10,0.115,1,,45.80740740740741,45.0,16.0,75.0,6184.0,15.321673409393753,0.34484021609742704,1.533227951414265
