TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,,,
Track ID,X,Y,Z,T,Frame,Min intensity ch2,Max intensity ch2,Sum intensity ch2,,,
Track ID,X,Y,Z,T,Frame,Min ch2,Max ch2,Sum ch2,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),,,
0,2.645354635,2.051246631,1.670765455,0,0,15,47,2664,,,
0,2.650395683,2.057480259,1.368142049,3.821741104,1,10,33,1582,,,
0,2.920278862,2.298091551,1.418248574,7.643482208,2,17,37,2293,,,
0,2.668891017,2.07155215,1.42128968,11.46522331,3,6,17,952,,,
0,2.642532137,1.992901764,0.697343989,15.28696442,4,4,13,732,,,
1,1.583241812,1.518617695,1.397653147,0,0,8,24,1276,,1.880501241,
1,2.436992776,1.482356472,1.434476885,3.821741104,1,25,61,3747,,1.405566235,0.855313728
1,2.299645956,1.486791142,1.1425257,7.643482208,2,17,53,2988,,1.473232443,0.322675239
1,2.154670428,1.402445882,1.136741978,11.46522331,3,26,69,3828,,1.571574013,0.167825738
1,2.19958933,1.447767349,1.249633657,15.28696442,4,41,124,6561,,1.398518316,0.129677578
1,2.129277646,1.365663769,1.328171239,19.10870552,5,27,70,3742,,1.255369473,0.13361468
1,2.175669619,1.667089921,1.375725185,22.93044662,6,17,50,2862,,1.017707262,0.308660523
1,2.419707033,1.998770797,1.849964605,26.75218773,7,19,37,2290,,0.681749679,0.628068062
3,2.558665309,1.740110595,1.244255849,0,0,84,235,14040,,,
3,2.494399004,2.005034132,0.822369156,3.821741104,1,46,109,6098,,,
3,2.620005838,2.021996001,0.658398042,7.643482208,2,86,253,13330,,,
3,2.324988069,3.07440372,0.729621359,11.46522331,3,86,254,13850,,,
3,1.667696073,2.472644018,0.953423036,15.28696442,4,100,258,13617,,,
3,1.478659526,1.983851347,1.162602471,19.10870552,5,65,197,10724,,,
5,2.50521126,3.299229618,1.702162943,0,0,34,92,5189,,,
5,2.41668595,3.192652647,2.03609167,3.821741104,1,24,61,3328,,,
5,2.611038604,3.07176046,2.008423714,7.643482208,2,10,18,1126,,,
5,2.446643827,2.998706112,2.004938979,11.46522331,3,8,16,1011,,,
5,2.39794174,3.076074348,2.379846788,15.28696442,4,9,26,1414,,,
6,3.110732199,3.122581178,1.817527882,0,0,5,14,836,,,
6,3.008014176,2.560848245,1.593785211,3.821741104,1,16,36,2133,,,
6,3.007832431,2.282371589,1.509782782,7.643482208,2,17,36,2255,,,
6,2.743886573,2.182151366,1.614231845,11.46522331,3,7,17,996,,,
7,2.342383223,3.026205742,2.371694302,7.643482208,2,13,31,1782,,,
7,2.426194344,2.665110679,2.874678391,11.46522331,3,30,104,5391,,,
7,2.291441261,2.716177997,2.508981092,15.28696442,4,5,11,656,,,
32,3.075706642,2.515748962,1.875188737,11.46522331,3,24,66,3619,,,
32,3.011819761,2.527055383,1.485863827,15.28696442,4,27,64,3661,,,
32,2.901178513,2.28562458,1.721370533,19.10870552,5,13,34,2001,,,
32,2.852393065,2.263941475,1.637759877,22.93044662,6,16,36,2165,,,
32,2.861801586,2.493865157,1.798695521,26.75218773,7,8,22,1278,,,
45,1.722551665,1.81344112,2.383347694,15.28696442,4,8,19,1067,,,
45,1.46523821,2.178827156,1.662866896,19.10870552,5,14,41,2005,,,
45,1.346317044,2.595766651,1.513693149,22.93044662,6,97,232,13394,,,
45,1.596584402,2.437383037,1.761163001,26.75218773,7,11,24,1425,,,
47,2.00341212,2.284458839,2.755590606,15.28696442,4,25,60,3406,,,
47,2.192162691,2.160858699,2.922334762,19.10870552,5,29,71,3923,,,
47,2.178841005,1.76125091,2.621290779,22.93044662,6,18,52,2948,,,
47,2.179288825,1.913301289,2.558541057,26.75218773,7,53,128,7307,,,
97,1.838851976,2.40513854,1.346555325,22.93044662,6,4,13,713,,,
97,2.529210718,2.251378318,1.583216191,26.75218773,7,7,15,919,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,2.88361153,2.824322694,1.772430374,0,0,,,,,,
,3.016136374,2.755158716,1.576545818,3.821741104,1,,,,,,
,3.081921685,2.623311681,1.659032795,7.643482208,2,,,,,,
,3.068172369,2.595397624,1.597421068,11.46522331,3,,,,,,
,2.96662884,2.605930965,1.411376996,15.28696442,4,,,,,,
,2.832518295,2.39918629,1.44322036,19.10870552,5,,,,,,
,2.829730447,2.418590286,1.583522458,22.93044662,6,,,,,,
,2.811322462,2.546695537,1.744141831,26.75218773,7,,,,,,
