LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID24269719,24269719,2,1.4026761054992676,6.112939462976817,3.865520813937104,3.666454069762042,0.0,0,0.115,1,,8.103703703703705,8.0,2.0,14.0,1094.0,3.0622254956453183,0.34670311460417697,1.3625807833448205
ID24269697,24269697,2,1.9547882080078125,6.0735231502375715,3.9913294207497234,3.39322971618581,3.821739435195923,1,0.115,1,,10.051851851851852,9.0,3.0,19.0,1357.0,3.9347637728379055,0.3935409570592448,1.44287135200282
ID24269675,24269675,2,1.2025566101074219,6.074341896503964,3.9731612327286765,3.4212518308874507,7.643478870391846,2,0.115,1,,7.155555555555556,7.0,3.0,12.0,966.0,2.4399249641834833,0.3453659691797622,1.5056914589448285
ID24269706,24269706,2,0.8024790287017822,6.013133987428054,3.9115734494250387,3.4738392055133005,11.465218305587769,3,0.115,1,,4.325925925925926,4.0,2.0,7.0,584.0,1.4342798371268075,0.38811449577304863,1.6865909093993185
ID24269777,24269777,2,0.7560420036315918,5.952642184318142,3.917890923065509,3.2398297909648726,68.79130983352661,18,0.115,1,,3.562962962962963,3.0,1.0,7.0,481.0,1.484282868238524,0.4402856155706553,1.4676094597337346
ID24269782,24269782,2,0.8287558555603027,5.996770752413395,4.039254493327851,3.2288342352779593,72.61304926872253,19,0.115,1,,5.133333333333334,5.0,2.0,8.0,693.0,1.642713445092163,0.3414208382557792,1.5907159134543831
ID24269709,24269709,4,22.809783935546875,2.3378985337986933,5.090924943918975,1.0883515809207898,0.0,0,0.115,1,,112.6,110.0,35.0,207.0,15201.0,45.329835978643764,0.4067987364598112,1.4365867757752273
ID24269689,24269689,4,16.095184326171875,2.2653250789958226,5.0266126787917615,1.038823929048801,3.821739435195923,1,0.115,1,,84.42222222222222,81.0,27.0,150.0,11397.0,32.457657070213216,0.38861174785312297,1.4558099999077307
ID24269670,24269670,4,18.847503662109375,2.2606603415802744,5.067546944047462,0.9336268446086624,7.643478870391846,2,0.115,1,,94.72592592592592,86.0,34.0,172.0,12788.0,36.12404615889525,0.4024300266499072,1.504913860110371
ID24269702,24269702,4,16.950057983398438,2.344664917822273,5.149585927827128,0.8505252387720175,11.465218305587769,3,0.115,1,,78.77777777777777,76.0,26.0,152.0,10635.0,32.73084871663799,0.42565350830775744,1.4372048852067318
ID24269686,24269686,4,12.333110809326172,2.4019314902664433,5.416808103217902,0.7762728302652896,15.286957740783691,4,0.115,1,,58.303703703703704,55.0,20.0,111.0,7871.0,23.01890011055291,0.41958739211914353,1.4972760148405677
ID24269728,24269728,4,11.0870361328125,2.374318205245551,5.240096204987064,0.7639876219751828,19.108697175979614,5,0.115,1,,52.525925925925925,50.0,17.0,100.0,7091.0,21.347455939036365,0.4205597395187228,1.4568867035101576
ID24269725,24269725,4,12.173492431640625,2.0712457739996273,5.270853385389532,0.8142544177319404,22.930436611175537,6,0.115,1,,60.370370370370374,59.0,17.0,113.0,8150.0,25.147843663156845,0.40426081072597014,1.3821874671865348
ID24269681,24269681,4,10.610000610351562,1.8374646522529234,5.475148582177441,0.7628158333257412,26.75217604637146,7,0.115,1,,50.8,48.0,16.0,98.0,6858.0,21.72892700196483,0.4157602563523942,1.3731205983740298
ID24269730,24269730,4,9.20864486694336,1.7155926545886424,5.5797846178847745,0.8679443687872789,30.573915481567383,8,0.115,1,,45.82222222222222,45.0,15.0,86.0,6186.0,18.63188835522562,0.4040474490485104,1.4154673432376446
ID24269732,24269732,4,4.781578063964844,1.4878112857178105,5.612237962721693,0.9278444347282117,34.395654916763306,9,0.115,1,,26.237037037037037,25.0,8.0,46.0,3542.0,9.877010399858682,0.3727723560715482,1.4426615148880237
ID24269746,24269746,4,5.334493637084961,1.3245413914355124,5.54937702916515,1.1751304598329682,38.21739435195923,10,0.115,1,,28.2,27.0,9.0,51.0,3807.0,11.171525637737528,0.38238037589060664,1.3964797846320556
ID24269744,24269744,4,5.569765090942383,1.5038213283250088,5.494762304675983,1.0855460824047214,42.03913378715515,11,0.115,1,,29.57777777777778,29.0,9.0,53.0,3993.0,11.394202942572042,0.38572929432579645,1.4451595981203496
ID24269735,24269735,4,8.23529052734375,1.6102042911727608,5.720094389482627,1.0202803743963105,45.860873222351074,12,0.115,1,,41.15555555555556,39.0,12.0,77.0,5556.0,17.165944533910547,0.4010718363102736,1.372626953332055
ID24269754,24269754,4,8.53195571899414,1.661535934108511,5.670479681219113,1.1477379320419192,49.682612657547,13,0.115,1,,42.15555555555556,38.0,15.0,80.0,5691.0,17.285084013484976,0.4030151295454699,1.4011102620675067
ID24269749,24269749,4,9.729450225830078,1.6967799645274284,5.399539883840633,0.8700569482157763,53.50435209274292,14,0.115,1,,47.370370370370374,45.0,13.0,91.0,6395.0,20.58174119838563,0.40884943123222434,1.3358370356878955
ID24269761,24269761,4,8.581192016601562,1.7439827510513102,5.418327168670595,0.9945779622154467,57.32609152793884,15,0.115,1,,43.39259259259259,42.0,14.0,79.0,5858.0,16.816878646389984,0.4006326401363726,1.4761221272765883
ID24269764,24269764,4,6.802740097045898,1.8154682730147242,5.514453532058454,1.168410607442356,61.147830963134766,16,0.115,1,,34.75555555555555,33.0,13.0,63.0,4692.0,13.372095397632458,0.39591640574326575,1.4743440829091459
