LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID430780,430780,5,182.2965850830078,2.339812118388729,5.090666418929074,1.102630713066329,0.0,0,0.1,1,,140.126582278481,138.0,69.0,207.0,11070.0,36.21459087185136,29.79746835443038,30.0,16.0,39.0,2354.0,5.807554202613475,0.3603317472695314,2.0498620535159815,0.22819260293091412,1.9065630673662284
ID430852,430852,5,121.10716247558594,2.2684736927776594,5.025567184900928,1.0561896924170486,3.821739435195923,1,0.1,1,,100.30379746835443,101.0,45.0,150.0,7924.0,26.84062861351633,36.87341772151899,36.0,17.0,59.0,2913.0,10.256163986007978,0.3462751892125821,1.9223931993461276,0.2816601891911711,1.580196170513894
ID430830,430830,5,143.9451446533203,2.262364246691438,5.0664619620280895,0.945883093160122,7.643478870391846,2,0.1,1,,117.75949367088607,116.0,63.0,172.0,9303.0,27.73880702418472,7.2784810126582276,8.0,2.0,12.0,575.0,2.2357050678199686,0.3554092345722681,2.226365244881089,0.0036874604525321333,0.02392131834740489
ID430820,430820,5,155.63006591796875,2.346587686523544,5.150264418200994,0.858088483598093,11.465218305587769,3,0.1,1,,98.30379746835443,96.0,49.0,152.0,7766.0,27.0944948663196,8.39240506329114,7.0,2.0,21.0,663.0,4.802290376420528,0.37988083439613685,1.9976759100926875,0.19411348280597662,0.5681697607873514
ID430878,430878,5,107.09856414794922,2.4029458486906305,5.4155734255387245,0.7848626348426712,15.286957740783691,4,0.1,1,,72.77215189873418,73.0,37.0,111.0,5749.0,18.112150169748006,2.0126582278481013,1.0,0.0,14.0,159.0,2.8170436899212303,0.3741767199866941,2.188060769188007,-0.31176693379183473,-0.6472930788354216
ID430884,430884,5,94.81143951416016,2.376424222475475,5.240241053109031,0.7668745829772579,19.108697175979614,5,0.1,1,,65.51898734177215,64.0,33.0,100.0,5176.0,17.217210202773977,2.8987341772151898,3.0,1.0,5.0,229.0,0.9000703207408197,0.37381026722930644,2.0708987131456777,0.1389021281886565,0.785569187490326
ID430814,430814,5,89.77784729003906,2.072358003317735,5.267834637799949,0.8462786405027852,22.930436611175537,6,0.1,1,,75.54430379746836,77.0,35.0,113.0,5968.0,20.338039053013652,5.177215189873418,5.0,2.0,8.0,409.0,1.6311038709153463,0.35735594582403046,1.9558246017286272,0.19214467020488468,1.0231609931766872
