LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID662867,662867,0,20.46834945678711,5.712738158494669,7.335536818116097,1.652546090518717,0.0,0,0.1,1,,0.7848101265822784,1.0,0.0,1.0,62.0,0.4135799329292696,18.126582278481013,19.0,7.0,25.0,1432.0,4.324548556867822,0.4037735849056604,1.091631284069473,0.24018177400458524,1.6235282436071516
ID662840,662840,0,32.71149444580078,5.774070424118169,7.39735841726381,1.4786513971473634,3.823415756225586,1,0.1,1,,1.3670886075949367,1.0,0.0,3.0,108.0,0.8941005391449661,28.240506329113924,28.0,13.0,40.0,2231.0,6.88963396347008,0.3138908132402886,0.7305662955205314,0.3169504323508457,1.9730052683445052
ID662852,662852,0,8.994216918945312,5.772910228695833,7.199233590811565,1.7308736668666973,7.646831512451172,2,0.1,1,,0.0,0.0,0.0,0.0,0.0,0.0,7.7594936708860756,8.0,4.0,11.0,613.0,1.7410223188411513,NaN,NaN,0.2716376627866774,1.904081981354595
ID662892,662892,0,55.87721252441406,5.790863047251611,7.017932275728436,1.7901786413377045,11.470247268676758,3,0.1,1,,0.0,0.0,0.0,0.0,0.0,0.0,46.65822784810127,46.0,27.0,68.0,3686.0,10.38229024181892,NaN,NaN,0.34386651266255125,2.2998463476168896
ID662878,662878,0,32.245262145996094,5.692575121459394,7.153762044517111,1.6128831216005668,15.293663024902344,4,0.1,1,,0.45569620253164556,0.0,0.0,2.0,36.0,0.5947951242715337,28.810126582278482,29.0,16.0,39.0,2276.0,5.735798402760062,0.015634183613494772,0.023587173620767933,0.2914798206278027,2.267264313275923
ID662828,662828,0,15.850116729736328,5.6418545055400395,7.403673502161065,1.4442237925198542,19.11707878112793,5,0.1,1,,0.9113924050632911,1.0,0.0,4.0,72.0,1.0276918801150459,16.189873417721518,16.0,10.0,20.0,1279.0,2.6021487637911314,0.0633628028143012,0.10568792980377965,0.22170378910193736,2.258127825202342
ID662907,662907,0,12.471571922302246,5.691233361201648,7.411655951214911,1.504834837285032,22.940494537353516,6,0.1,1,,0.379746835443038,0.0,0.0,2.0,30.0,0.5383687962048289,12.316455696202532,12.0,6.0,17.0,973.0,2.399488747883004,0.09934853420195443,0.1274883032147606,0.1956234202653186,1.6796680495573364
