TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,,,,,,,,,,,,,,
Track ID,X,Y,Z,T,Frame,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,,,,,,,,,,,,,,
Track ID,X,Y,Z,T,Frame,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,,,,,,,,,,,,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,,,,,,
1,5.850529258,4.050331284,2.029426779,0,0,60.98518519,60,20,110,8233,23.97448432,4,2.092497215,2.188218733,1.709786889,0,0,11.74814815,11,5,22,1586,4.466656766,0,4.206237945
1,5.914120214,3.943825182,2.192427115,3.821738243,1,39.08888889,35,14,74,5277,15.5493757,4,2.070714273,2.440079922,1.547282609,3.821738243,1,4.703703704,4,2,9,635,1.812370733,0.063695637,4.177227605
1,5.904825873,3.830498364,2.022895781,7.643476486,2,36.1037037,34,11,63,4874,14.01186814,4,2.037338351,2.462585491,1.518156743,7.643476486,2,5.696296296,5,2,11,769,2.246968353,0.127391275,4.133207817
1,5.843946096,3.786553134,1.949604112,11.46521473,3,50.75555556,49,20,82,6852,15.48252104,4,1.785163611,2.647685225,1.70721796,11.46521473,3,9.562962963,10,4,15,1291,2.757912382,0.191086912,4.222497652
1,5.842923867,3.803889099,2.018302276,15.28695297,4,42.31851852,41,15,68,5713,13.51983168,4,1.743686329,2.811052877,1.841757794,15.28695297,4,9.562962963,10,4,15,1291,2.669919244,0.25478255,4.221450001
1,5.879446974,3.903203526,2.080100009,19.10869122,5,45.22222222,45,19,74,6105,14.04133911,4,1.882148876,2.438528988,1.936580927,19.10869122,5,5.718518519,6,2,8,772,1.417649157,0.318478187,4.259608117
1,5.900694867,3.720497518,1.789976679,22.93042946,6,32.65925926,33,12,50,4409,9.540301759,4,1.782052236,2.552044533,1.819882852,22.93042946,6,9.681481481,9,3,16,1307,3.34273963,0.382173824,4.28128414
,,,,,,,,,,,,4,1.848715806,2.566951054,1.804963849,26.7521677,7,4.688888889,4,2,9,633,1.79745536,,
,,,,,,,,,,,,4,1.981102074,2.492023621,1.567927076,30.57390594,8,4.822222222,5,2,8,651,1.544690795,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.904400166,3.961858277,2.085741366,38.21738243,10,5.6,6,2,9,756,1.959287108,,,,,,,,,,,,,,
1,6.191148539,3.937136641,2.345880027,42.03912067,11,7.051851852,7,3,11,952,1.95592677,,,,,,,,,,,,,,
1,6.595965914,4.101067016,3.435808873,57.32607365,15,12.87407407,12,4,25,1738,5.381601645,,,,,,,,,,,,,,
1,6.620087971,4.072511003,3.481601624,61.14781189,16,16.72592593,16,5,31,2258,6.803675071,,,,,,,,,,,,,,
1,6.402752035,4.107620976,3.240054525,64.96955013,17,9.733333333,9,4,17,1314,3.412444303,,,,,,,,,,,,,,
1,6.287251041,4.092504997,2.980091856,68.79128838,18,8.162962963,8,3,15,1102,3.037593822,4,2.548682833,3.178611472,0.552433359,68.79128838,18,9.481481481,9,3,19,1280,4.101058931,1.146521473,4.550342778
1,6.293396239,4.080988384,3.007947003,72.61302662,19,6.096296296,6,2,11,823,2.515249236,4,2.596366751,3.417404175,0.492189454,72.61302662,19,3.607407407,3,1,7,487,1.371872543,1.21021711,4.520775053
