TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,,,,
Track ID,X,Y,Z,T,Frame,Min intensity ch2,Max intensity ch2,Sum intensity ch2,,,,
Track ID,X,Y,Z,T,Frame,Min ch2,Max ch2,Sum ch2,,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),,,,
2,6.049723672,2.027058835,2.012366912,0,0,27,88,4596,,,0.237644588,
2,6.030924992,2.055334887,1.915963646,3.821738958,1,7,19,1168,,,0.240116395,
2,6.371789374,1.974386623,2.082676189,7.643477917,2,3,13,609,,,0.549690186,
2,6.384848421,2.034848963,2.108952611,11.46521688,3,6,18,918,,,0.581672889,
5,6.104241601,1.165333064,3.09573538,0,0,20,48,2614,,,1.558765448,
5,6.027215962,1.054023786,2.796710061,3.821738958,1,4,12,697,,,1.307153112,0.328235961
5,5.900580337,1.292248872,2.492931904,7.643477917,2,13,35,2004,,,0.977582185,0.648812426
5,5.897008454,1.343825852,2.3897349,11.46521688,3,7,19,1073,,,0.920828284,0.757127421
10,5.962516728,1.373949351,2.455268695,3.821738958,1,6,18,966,,,,
10,5.903903294,1.548594895,2.357023826,7.643477917,2,10,26,1568,,,,
10,6.028123121,1.527332513,1.967063427,11.46521688,3,14,35,2042,,,,
11,5.449288772,1.405171811,2.607434864,0,0,7,20,1115,,,,
11,5.506033454,1.420845695,2.561289985,3.821738958,1,12,40,2059,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,5.925518896,2.02793916,1.809765459,0,0,,,,,,,
,5.817904167,1.953700862,1.871821424,3.821738958,1,,,,,,,
,5.984906515,1.867570752,1.707081563,7.643477917,2,,,,,,,
,6.040175899,1.890949199,1.663041117,11.46521688,3,,,,,,,
