LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID1887138,1887138,0,37.72796630859375,4.458748525537632,6.152610265129906,2.4761096651349237,0.0,0,0.115,1,,191.05185185185186,182.0,50.0,350.0,25792.0,79.06773201847298,0.39873855800667,1.3776333657012998
ID1887130,1887130,0,23.144020080566406,4.695481639441644,6.1854845991050045,2.528337372828688,3.8217403888702393,1,0.115,1,,117.28148148148148,111.0,37.0,216.0,15833.0,46.98596993702654,0.39726791897616714,1.419368131666859
ID1887117,1887117,0,22.474990844726562,4.8199524258863695,6.143438401417669,2.470867961021361,7.6434807777404785,2,0.115,1,,110.75555555555556,104.0,38.0,207.0,14952.0,44.055166682726174,0.4061442452420978,1.4522757880500137
ID1887149,1887149,0,23.684906005859375,4.912421882083343,6.153654885661962,2.184558954356225,11.465221166610718,3,0.115,1,,117.03703703703704,113.0,36.0,217.0,15800.0,48.0143646738758,0.4068715034709001,1.409889149500949
ID1887114,1887114,0,15.220634460449219,5.008006009155013,6.224019053441284,2.0415781583472783,15.286961555480957,4,0.115,1,,75.98518518518519,70.0,29.0,138.0,10258.0,29.17548172879484,0.40469286899905643,1.500669515669936
ID1887154,1887154,0,12.710990905761719,5.0342123279378965,6.393102662746638,1.8293248831764555,19.108701944351196,5,0.115,1,,63.81481481481482,59.0,21.0,117.0,8615.0,25.08677036886329,0.40219531120010676,1.4592686321814512
ID1887125,1887125,0,12.096317291259766,4.969443592806214,6.699063505073973,1.6891999076484836,22.930442333221436,6,0.115,1,,60.22962962962963,56.0,19.0,113.0,8131.0,24.122801729787483,0.40179650028468933,1.4313097154546914
ID1887158,1887158,0,8.036663055419922,4.800764298418756,6.692548700484871,1.7576586120374902,26.752182722091675,7,0.115,1,,42.60740740740741,40.0,12.0,76.0,5752.0,16.755527622694256,0.3830547215468083,1.4085700590500672
ID1887173,1887173,0,6.489589691162109,4.508137320355543,6.612497787902937,1.7450285256681373,30.573923110961914,8,0.115,1,,32.53333333333333,31.0,11.0,62.0,4392.0,13.382880576965237,0.39974219920337234,1.388484057854342
ID1887176,1887176,0,7.776988983154297,4.50006276656073,6.734106010472879,1.6568350047307223,34.39566349983215,9,0.115,1,,46.74074074074074,45.0,19.0,77.0,6310.0,14.770363107008578,0.3475328762504215,1.6322660193731091
ID1887161,1887161,0,6.836151123046875,4.540631253744278,6.769771889798638,1.5772129422215164,38.21740388870239,10,0.115,1,,40.14074074074074,39.0,17.0,67.0,5419.0,12.792933545553183,0.35449774535916384,1.6424056304250694
ID1887169,1887169,0,5.46989631652832,4.527629222272371,6.884290348193848,1.4766989072883565,42.03914427757263,11,0.115,1,,31.748148148148147,32.0,13.0,53.0,4286.0,9.97213918765118,0.358263349706861,1.6794940215924699
ID1887163,1887163,0,3.514070510864258,4.583732118848545,6.982215774740443,1.3998347173559471,45.86088466644287,12,0.115,1,,17.533333333333335,17.0,5.0,33.0,2367.0,7.115046071320614,0.40637144001472164,1.424098103535324
ID1887167,1887167,0,3.179112434387207,4.546166939485586,6.9938557643471135,1.3813743461210077,49.68262505531311,13,0.115,1,,17.02962962962963,17.0,5.0,30.0,2299.0,6.654524597820354,0.3834711579398728,1.418667955155037
ID1887165,1887165,0,2.8389596939086914,4.669203226798474,6.8727337780101925,1.5047415153952481,53.50436544418335,14,0.115,1,,15.466666666666667,15.0,6.0,27.0,2088.0,5.552732284280912,0.37474884995771685,1.5185773920834849
ID1887171,1887171,0,2.663919448852539,4.741686966287984,6.6204357857112806,1.660505662684342,57.32610583305359,15,0.115,1,,14.303703703703704,14.0,4.0,26.0,1931.0,5.941598953186637,0.38129394311712594,1.3290733983947725
ID1887178,1887178,0,3.5488433837890625,4.595071273057883,6.604551185939155,1.7706458925180235,61.14784622192383,16,0.115,1,,18.22222222222222,17.0,6.0,34.0,2460.0,7.176523361781039,0.3921949375354424,1.4306031092790488
ID1887184,1887184,0,2.4522886276245117,4.647691999528324,6.737347811643879,1.8515318040257884,64.96958661079407,17,0.115,1,,12.851851851851851,12.0,4.0,23.0,1735.0,5.090990752649229,0.38880967041514075,1.4134736746011778
ID1887183,1887183,0,2.081277847290039,4.541693032280994,6.906694274356609,1.6950828125398216,68.7913269996643,18,0.115,1,,10.044444444444444,9.0,3.0,19.0,1356.0,3.943380371739315,0.42136555183520696,1.5102209417111754
ID1887181,1887181,0,1.7472786903381348,4.504805759974538,6.998619249085512,1.949317827355402,72.61306738853455,19,0.115,1,,8.866666666666667,9.0,3.0,16.0,1197.0,3.363100914512382,0.39803387522342326,1.5012493023024607
ID1887131,1887131,1,3.833314895629883,5.009691983209801,1.8873382493754691,2.6077135897681867,3.8217403888702393,1,0.115,1,,20.903703703703705,20.0,7.0,37.0,2822.0,7.552674799564142,0.37544244611592126,1.5109615033807855
ID1887118,1887118,1,3.7694625854492188,4.94784515126854,1.8341828250657901,2.6040512859625755,7.6434807777404785,2,0.115,1,,20.16296296296296,19.0,7.0,36.0,2722.0,7.825720516546423,0.3800008518092993,1.418943915265466
ID1887151,1887151,1,4.263160705566406,4.985175853802335,1.8737319899760287,2.7152740684373975,11.465221166610718,3,0.115,1,,22.637037037037036,22.0,7.0,40.0,3056.0,8.437308235439312,0.3851373793240126,1.491998833017645
