LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID23972765,23972765,0,0.9644122123718262,4.546922096281327,2.570113637170825,2.4786662349092974,0.0,0,0.115,1,,5.37037037037037,5.0,2.0,10.0,725.0,1.919035597115418,0.35494793390774704,1.4662001125234077
ID23972781,23972781,0,0.8940920829772949,4.508292358002803,2.7587524027576373,2.7135423789973334,3.8217382431030273,1,0.115,1,,4.57037037037037,4.0,2.0,8.0,617.0,1.7039932938201934,0.3976654981164866,1.5262587900269269
ID23972794,23972794,0,0.6418778896331787,4.530511502464577,2.8783750873735894,2.3504606414714293,7.643476486206055,2,0.115,1,,3.437037037037037,3.0,1.0,6.0,464.0,1.2673123954152934,0.3906375130439003,1.523668646758829
ID23972773,23972773,0,0.8747014999389648,4.494382856760248,2.8011484217923903,2.539548234272394,11.465214729309082,3,0.115,1,,6.266666666666667,6.0,2.0,9.0,846.0,1.6625820594718375,0.292653731592573,1.7066928233288092
ID23972801,23972801,0,0.9030842781066895,4.537541249161503,2.8385846970027706,2.4975483843845896,15.28695297241211,4,0.115,1,,6.481481481481482,7.0,2.0,10.0,875.0,1.9503227894026844,0.2861808092003958,1.4788913431412103
ID23972760,23972760,0,0.6904268264770508,4.54258076487443,2.778251107611278,2.651277020349216,19.108691215515137,5,0.115,1,,4.962962962962963,5.0,2.0,7.0,670.0,1.34056908948873,0.29421770370008304,1.6832293448076032
ID23972822,23972822,0,1.386509895324707,4.479537842492852,3.005332969592204,2.1566668254756625,34.395644187927246,9,0.115,1,,7.037037037037037,6.0,2.0,13.0,950.0,2.845282577597385,0.39854721549636807,1.4096038401043767
ID23972814,23972814,0,0.8766546249389648,4.472557907411561,2.9808838786273335,2.0628982484733185,38.21738243103027,10,0.115,1,,4.733333333333333,5.0,2.0,8.0,639.0,1.6308591271281891,0.38676261268385265,1.6189110883388544
ID23972804,23972804,0,0.9551224708557129,4.362851266302015,2.8663010948917824,1.9860151358345033,42.0391206741333,11,0.115,1,,5.2444444444444445,5.0,1.0,9.0,708.0,2.078556713190729,0.3679634377438413,1.357368554566176
ID23972766,23972766,1,4.926229476928711,3.3371353238128996,3.2331622705625653,2.5525620635141597,0.0,0,0.115,1,,24.74074074074074,23.0,7.0,46.0,3340.0,10.270929097303478,0.3993562805056463,1.3748812214142898
ID23972780,23972780,1,5.368324279785156,3.1867751357935528,3.068087796442565,2.3331930604547715,3.8217382431030273,1,0.115,1,,28.807407407407407,27.0,11.0,50.0,3889.0,10.476338867377471,0.38097587957723217,1.5171761951414617
ID23972793,23972793,1,3.874174118041992,3.1095038627099534,2.9267610636740744,2.264617923330085,7.643476486206055,2,0.115,1,,20.237037037037037,19.0,5.0,37.0,2732.0,8.413038395011133,0.3830019654579476,1.3323007015767392
ID23972772,23972772,1,6.725696563720703,3.0870215857555925,2.9392255646055214,2.1016022216163104,11.465214729309082,3,0.115,1,,41.25925925925926,40.0,15.0,67.0,5570.0,13.147818026204712,0.3408344459929634,1.595387037433588
ID23972800,23972800,1,5.552482604980469,3.114491503758329,2.972444917395588,2.256460868390071,15.28695297241211,4,0.115,1,,33.22222222222222,32.0,12.0,55.0,4485.0,11.098384087480206,0.3488331742864578,1.5483119477857348
ID23972759,23972759,1,4.486948013305664,3.1652096371721634,3.096192059723784,2.070492021304987,19.108691215515137,5,0.115,1,,26.844444444444445,25.0,11.0,45.0,3624.0,8.662723940519626,0.3486271394623815,1.6021354824655212
ID23972776,23972776,1,3.983388900756836,3.1687011369880542,3.1530502106673564,2.241396254268189,22.930429458618164,6,0.115,1,,24.022222222222222,23.0,9.0,39.0,3243.0,7.565107122251759,0.3464563156979075,1.6341213672335275
ID23972789,23972789,1,4.442985534667969,3.1345425613195936,3.0843715290178197,2.3801163595825576,26.75216770172119,7,0.115,1,,22.651851851851852,21.0,7.0,42.0,3058.0,9.044928090205737,0.3964812767389319,1.422054220814569
ID23972803,23972803,1,4.032587051391602,3.1843466677064782,3.0857221569187905,2.324986201606463,30.57390594482422,8,0.115,1,,25.6,26.0,11.0,41.0,3456.0,7.7980096963187115,0.3313121104935153,1.633968268963991
ID23972824,23972824,1,2.7850818634033203,3.2377225552018793,3.2029173860939584,2.2469411494925953,34.395644187927246,9,0.115,1,,14.881481481481481,14.0,5.0,27.0,2009.0,5.83869216066771,0.3812739169979701,1.4070770221439373
ID23972815,23972815,1,2.5787572860717773,3.161600415903839,3.1302974414889495,2.2000000000000006,38.21738243103027,10,0.115,1,,14.214814814814815,14.0,5.0,25.0,1919.0,5.484557949213989,0.37122383534656467,1.4033211541572024
ID23972805,23972805,1,3.1464900970458984,3.2232415059919073,3.2936992575484285,2.0664536313258117,42.0391206741333,11,0.115,1,,16.288888888888888,16.0,5.0,29.0,2199.0,6.104643041707407,0.39412898220676196,1.5086781417922037
ID23972811,23972811,1,0.6730508804321289,3.207211224138499,3.5802655720595737,2.0688659612399563,45.86085891723633,12,0.115,1,,3.903703703703704,4.0,1.0,7.0,527.0,1.4240685569300824,0.3674722527169489,1.4732687392748742
ID23972812,23972812,1,1.2094426155090332,3.185815207443674,3.720451138626518,1.894409198335304,49.682597160339355,13,0.115,1,,6.355555555555555,6.0,2.0,12.0,858.0,2.564006504132511,0.3936494471132505,1.4002980739455968
