LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2993641,2993641,0,37.804962158203125,2.9147161582958545,3.7302966705624536,2.492399622783348,0.0,0,0.115,1,,222.61481481481482,218.0,84.0,372.0,30053.0,70.82540917533417,0.35222724243613424,1.6374506799227304
ID2993651,2993651,0,18.444129943847656,2.83250391045343,3.7320609230350157,2.555567208562568,3.8217453956604004,1,0.115,1,,111.26666666666667,110.0,38.0,184.0,15021.0,36.46981986785827,0.3437127192839495,1.5608121268012622
ID2993648,2993648,0,14.340888977050781,2.7660558352792797,3.7473292908614586,2.7356812096153216,7.643490791320801,2,0.115,1,,86.31851851851852,85.0,34.0,141.0,11653.0,27.142974641989756,0.3462922297721977,1.6359873462150594
ID2993646,2993646,0,8.673480987548828,2.8803961102482276,3.6646836422501736,2.724334995886826,11.465236186981201,3,0.115,1,,44.43703703703704,39.0,17.0,81.0,5999.0,16.84813972077798,0.3924054736670981,1.4865943180088481
ID2993637,2993637,0,9.476993560791016,2.907723857834377,3.7071528930831046,2.663351765623709,15.286981582641602,4,0.115,1,,49.318518518518516,48.0,16.0,90.0,6658.0,19.4919240267975,0.38592109307794126,1.4091113714638988
ID2993653,2993653,0,6.5618133544921875,2.7258717648773265,3.688361721040024,2.59706900986464,19.108726978302002,5,0.115,1,,34.81481481481482,32.0,13.0,63.0,4700.0,13.00814049669931,0.3798821174872928,1.473620755543387
ID2993639,2993639,0,6.554958343505859,2.675013997303235,3.683250197863259,2.4518010687496314,22.930472373962402,6,0.115,1,,32.93333333333333,31.0,10.0,62.0,4446.0,13.53558053053165,0.3981626040947515,1.3857713698130312
ID2993644,2993644,0,6.500354766845703,2.6606238301547096,3.636012098965694,2.422218381679475,26.752217769622803,7,0.115,1,,31.77777777777778,30.0,11.0,60.0,4290.0,12.94169858206622,0.4104281678330055,1.4290532924085797
ID2993661,2993661,0,4.290950775146484,2.5186757826966923,3.5171845388858998,2.5194883255538243,30.573963165283203,8,0.115,1,,22.925925925925927,23.0,7.0,41.0,3095.0,8.923078939226421,0.38322145222284554,1.4236401972534716
ID2993663,2993663,0,6.366363525390625,2.4265591844467034,3.492446229159843,2.678417915854083,34.3957085609436,9,0.115,1,,32.022222222222226,31.0,7.0,60.0,4323.0,13.828624145993132,0.39935364909121646,1.3216993070321488
ID2993657,2993657,0,4.878213882446289,2.3415752818589888,3.5020266133694054,2.6137914492903622,38.217453956604004,10,0.115,1,,24.31851851851852,22.0,8.0,46.0,3283.0,9.764122456271862,0.40094510553073753,1.4256000122649157
ID2993667,2993667,0,4.593538284301758,2.2996249419725654,3.4862735306452186,2.635873954392112,42.039199352264404,11,0.115,1,,23.79259259259259,23.0,5.0,44.0,3212.0,9.928923748845717,0.3900023564885342,1.3446872373842167
ID2993655,2993655,0,6.766120910644531,2.20919548361585,3.452038737062741,2.66182860950618,45.860944747924805,12,0.115,1,,40.05925925925926,40.0,15.0,66.0,5408.0,13.10278708130277,0.3502380623260588,1.5860695281915778
ID2993659,2993659,0,5.977516174316406,2.18549344128944,3.479088807954726,2.5716783622916264,49.682690143585205,13,0.115,1,,35.19259259259259,33.0,16.0,59.0,4751.0,11.120437213766278,0.35344846228658405,1.6528893017938355
ID2993665,2993665,0,4.114797592163086,2.254198398711965,3.4654895896418716,2.490711489279051,53.504435539245605,14,0.115,1,,24.237037037037037,23.0,10.0,40.0,3272.0,7.65896938568479,0.3521973223219036,1.6484856341437781
ID2993668,2993668,0,4.3150634765625,2.2315650896131296,3.278184872383628,2.491517428286619,57.326180934906006,15,0.115,1,,20.725925925925925,19.0,6.0,41.0,2798.0,8.718165654685153,0.41050892479477025,1.383775335767412
ID2993675,2993675,0,2.837569236755371,2.231935260235943,3.3157885402449914,2.290798634813494,61.147926330566406,16,0.115,1,,14.170370370370371,14.0,4.0,27.0,1913.0,5.9494647203607345,0.3965185381672931,1.3525399287527742
ID2993670,2993670,0,3.3185577392578125,2.3965468470136195,3.480824415663373,2.523140926843757,64.9696717262268,17,0.115,1,,17.40740740740741,17.0,5.0,32.0,2350.0,6.932829424219084,0.3844919961478946,1.3946024658951337
ID2993672,2993672,0,3.3803749084472656,2.4149530959755396,3.7620647859755505,2.748738596977463,68.7914171218872,18,0.115,1,,18.0,17.0,6.0,32.0,2430.0,6.581294161167763,0.3830002332996345,1.5148442515083362
ID2993674,2993674,0,4.910594940185547,2.2434574354235335,3.7000716429147924,2.6486224670796554,72.61316251754761,19,0.115,1,,24.68888888888889,23.0,8.0,46.0,3333.0,9.960718869539988,0.4020915109486907,1.4216392404387979
ID2993643,2993643,1,11.891571044921875,5.768895967714375,7.788295017548416,3.86876807745463,0.0,0,0.115,1,,76.08148148148148,74.0,30.0,122.0,10271.0,22.73436869976585,0.33170640997392553,1.6671375413451441
ID2993652,2993652,1,5.646232604980469,5.787660717714623,7.8427440884961666,3.783536576679789,3.8217453956604004,1,0.115,1,,37.65925925925926,38.0,15.0,59.0,5084.0,11.00689265934635,0.319424758258304,1.6566126888864567
ID2993650,2993650,1,4.917827606201172,5.74980671126976,7.8489819600324635,3.8182503030561925,7.643490791320801,2,0.115,1,,31.303703703703704,30.0,13.0,50.0,4226.0,9.431824560413483,0.3320707981090047,1.6547537889864914
