LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2203450,2203450,0,8.71622085571289,0.7692746546033605,2.4050520235028348,2.989823084250318,0.0,0,0.115,1,,51.65185185185185,51.0,20.0,86.0,6973.0,16.959265736058466,0.35044615160549303,1.5807124385224953
ID2203460,2203460,0,9.601631164550781,0.9989240889433497,2.4223705135484113,3.355822350916528,3.8217508792877197,1,0.115,1,,60.32592592592592,60.0,25.0,98.0,8144.0,18.57410716989248,0.33451267138811,1.628230616841218
ID2203463,2203463,0,8.542312622070312,0.9687430012431647,2.356314906296454,3.6421030066133433,7.6435017585754395,2,0.115,1,,54.681481481481484,55.0,22.0,87.0,7382.0,16.756665794098247,0.32829558054115165,1.6130690885207748
ID2203470,2203470,0,7.123409271240234,0.9009507628054332,2.8813128921722297,3.167230400729667,11.46525263786316,3,0.115,1,,44.68888888888889,43.0,20.0,71.0,6033.0,12.872779719681468,0.3358002795483928,1.7454070997002584
ID2203477,2203477,0,5.963024139404297,0.9708667820070285,2.6961452771992587,3.1462220192190595,15.287003517150879,4,0.115,1,,34.49629629629629,32.0,14.0,59.0,4657.0,11.49813357603958,0.3585565943696173,1.5836350119925815
ID2203440,2203440,0,6.352565765380859,0.9568647509618905,2.809397154315982,3.0169738759125595,19.1087543964386,5,0.115,1,,39.15555555555556,38.0,14.0,64.0,5286.0,12.581001233598256,0.33912206018778496,1.5763188118063196
ID2203444,2203444,0,8.003143310546875,0.9068703810694413,3.071451002473634,2.823066092497555,22.93050527572632,6,0.115,1,,46.55555555555556,43.0,20.0,79.0,6285.0,15.286159317064136,0.3551836005146118,1.5964594629054518
ID2203481,2203481,0,6.156940460205078,0.8832121154155527,2.8952363718618006,2.856934916681742,26.752256155014038,7,0.115,1,,38.41481481481482,38.0,15.0,63.0,5186.0,12.013913069502792,0.33424543884314334,1.6020424410545018
ID2203485,2203485,0,5.613183975219727,0.8838706668025531,2.800571056105591,2.853020516336191,30.574007034301758,8,0.115,1,,33.888888888888886,33.0,12.0,56.0,4575.0,11.327332329875501,0.3436902208567618,1.5304801523495213
ID2203491,2203491,0,3.1239938735961914,0.9130454509525929,2.706663215886276,2.9260137835658884,34.39575791358948,9,0.115,1,,15.762962962962963,15.0,5.0,30.0,2128.0,6.746151370930953,0.40192118167475943,1.3397663511722242
ID2203493,2203493,0,3.8924560546875,0.9880251559083728,2.6709170994303153,2.8334661118787112,38.2175087928772,10,0.115,1,,19.94814814814815,19.0,6.0,37.0,2693.0,8.317683480714507,0.3946807133268371,1.3573795441343468
ID2203503,2203503,0,3.233635902404785,1.0366120915833585,2.6803648226035417,2.83781514428743,42.03925967216492,11,0.115,1,,16.45925925925926,15.0,5.0,31.0,2222.0,6.540075040606235,0.39563370190648084,1.4268534897455523
ID2203499,2203499,0,3.1293601989746094,1.2038975656009858,2.4936426033399783,2.485396382287305,45.86101055145264,12,0.115,1,,19.037037037037038,19.0,7.0,31.0,2570.0,6.38375668116272,0.3442105708961545,1.527249256396897
ID2203507,2203507,0,4.053876876831055,1.1596285250739815,2.5129472459931077,2.549798994441636,49.682761430740356,13,0.115,1,,24.31111111111111,24.0,9.0,40.0,3282.0,7.817380813678558,0.34459225791363235,1.5940004688216907
ID2203513,2203513,0,5.936614990234375,1.1154137531271806,2.5674952978675445,2.704905776334843,53.504512310028076,14,0.115,1,,36.111111111111114,35.0,13.0,58.0,4875.0,11.42899341793772,0.34092256809013544,1.6066264617880421
ID2203520,2203520,0,5.035921096801758,1.0784056389404002,2.851540005751022,2.7156595055191817,57.326263189315796,15,0.115,1,,26.237037037037037,25.0,9.0,47.0,3542.0,10.225960092433906,0.38925230788041815,1.437774443540982
ID2203526,2203526,0,4.593008041381836,0.95260233728946,3.1263954847680693,2.7623906274518877,61.148014068603516,16,0.115,1,,23.711111111111112,22.0,7.0,43.0,3201.0,9.500091646585963,0.38945292884134053,1.3991531098341456
ID2203537,2203537,0,4.040254592895508,0.8990930427847591,3.1250281398578235,2.8217361653482187,64.96976494789124,17,0.115,1,,20.555555555555557,20.0,7.0,38.0,2775.0,7.789839025281652,0.3958532208179007,1.4966669252232436
ID2203532,2203532,0,3.163241386413574,0.9554944915049347,2.9806686819357564,2.9498730647701374,68.79151582717896,18,0.115,1,,17.081481481481482,17.0,5.0,30.0,2306.0,6.554082528381345,0.3782079705572953,1.4304067286444888
ID2203541,2203541,0,3.9475326538085938,1.0049782920830885,3.102931173751451,2.911064068186507,72.61326670646667,19,0.115,1,,20.103703703703705,19.0,6.0,37.0,2714.0,7.770278308154748,0.3931499860239847,1.4602589808852464
ID2203451,2203451,2,32.65626525878906,6.25214150859337,4.661646674867322,3.713440191612976,0.0,0,0.115,1,,201.96296296296296,199.0,77.0,329.0,27265.0,63.46892616210125,0.34032674974313304,1.6159427841022147
ID2203461,2203461,2,20.616188049316406,6.242862255336812,4.640025262983716,3.6682164386565885,3.8217508792877197,1,0.115,1,,128.59259259259258,125.0,45.0,209.0,17360.0,41.68472577133365,0.3371836291740991,1.555766547681876
ID2203464,2203464,2,20.94684600830078,6.321025080135495,4.554327562274607,3.8819171435986135,7.6435017585754395,2,0.115,1,,133.44444444444446,137.0,50.0,215.0,18015.0,42.809830553738486,0.33100168255748735,1.5503815149934352
