LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID26950378,26950378,1,90.2479248046875,3.1207769117429507,1.64434801968407,1.7471139986351147,0.0,0,0.115,1,,460.18518518518516,439.0,132.0,831.0,62125.0,183.77704634681118,0.39588565151810623,1.4203366053900794
ID26950401,26950401,1,59.632293701171875,3.1468933606439764,1.6796240627524428,1.7429156682588425,3.8217451572418213,1,0.115,1,,310.9259259259259,304.0,91.0,555.0,41975.0,122.40632297769525,0.3881536996466963,1.4205262218738073
ID26950369,26950369,1,47.21076965332031,3.2241900798811027,1.716985720751285,1.7358783546346122,7.643490314483643,2,0.115,1,,245.17037037037036,225.0,99.0,436.0,33098.0,88.76940954381372,0.3902937493372888,1.5506710301925342
ID26950388,26950388,1,52.52919006347656,3.3092940796863237,1.7700959521682915,1.6746400861206108,11.465235471725464,3,0.115,1,,275.18518518518516,264.0,85.0,493.0,37150.0,106.8000772251653,0.3870130351080093,1.437899487231058
ID26950373,26950373,1,46.19578552246094,3.3551582112427423,1.9007876065480702,1.6825004371345187,15.286980628967285,4,0.115,1,,235.31851851851852,220.0,78.0,430.0,31768.0,91.23355724698061,0.3954815909604431,1.4619538170849082
ID26950393,26950393,1,30.165084838867188,3.45684539167331,2.140738154637762,1.7273660582969181,19.108725786209106,5,0.115,1,,161.9925925925926,155.0,48.0,286.0,21869.0,62.81499681857712,0.3775171888631519,1.4135185535269488
ID26950365,26950365,1,61.62890625,3.338743810587223,2.012447017395216,1.5769114945426455,22.930470943450928,6,0.115,1,,357.6148148148148,348.0,139.0,600.0,48278.0,116.2682811936221,0.3538244710882545,1.6077175458903827
ID26950384,26950384,1,52.02557373046875,3.131926710907669,1.9411506682488042,1.5942218544786915,26.75221610069275,7,0.115,1,,307.65185185185186,293.0,146.0,511.0,41533.0,93.11286030408334,0.3482608236801505,1.706909788213203
ID26950399,26950399,1,47.7841796875,3.198014658299486,1.943542266110589,1.6117199967966107,30.57396125793457,8,0.115,1,,285.31851851851854,275.0,129.0,470.0,38518.0,85.75543600121793,0.34456239149741064,1.7052388174380768
ID26950412,26950412,1,33.31620788574219,3.18860721762292,1.888371788630292,1.694115759115773,34.39570641517639,9,0.115,1,,160.71851851851852,149.0,50.0,307.0,21697.0,65.04575334054931,0.4107892162724536,1.4389107963301144
ID26950406,26950406,1,35.205413818359375,3.0274557924652745,1.884984552884831,1.703680347159611,38.21745157241821,10,0.115,1,,172.27407407407406,162.0,59.0,324.0,23257.0,69.16457008950547,0.4079663194695713,1.4434384930003568
ID26950414,26950414,1,29.915023803710938,2.915270035915363,1.9020145411859894,1.6485058469885654,42.039196729660034,11,0.115,1,,151.57777777777778,138.0,59.0,277.0,20463.0,57.942002225419756,0.397389702672939,1.4878909548421224
ID26950420,26950420,1,18.35400390625,2.7967563578044303,1.8468541997455648,1.6983897656602203,45.860941886901855,12,0.115,1,,91.78518518518518,86.0,31.0,170.0,12391.0,36.3694527360008,0.3986663077737933,1.438670169261399
ID26950426,26950426,1,16.90978240966797,2.732883031909346,1.8222761255273965,1.734260069104025,49.68268704414368,13,0.115,1,,83.8,79.0,23.0,158.0,11313.0,34.42378559841106,0.4012713843737518,1.394220047257702
ID26950417,26950417,1,14.001144409179688,2.693127520684273,1.7149563720271144,1.8312107041905907,53.5044322013855,14,0.115,1,,69.96296296296296,64.0,24.0,131.0,9445.0,27.853134930985647,0.398673070740333,1.4319399124502974
ID26950431,26950431,1,10.939769744873047,2.6036274888330895,1.6863799483262696,1.866353722239727,57.32617735862732,15,0.115,1,,58.65925925925926,56.0,22.0,103.0,7919.0,21.216426669946994,0.37747295484851445,1.5152946489009171
ID26950422,26950422,1,8.18478775024414,2.527187806682914,1.5961554703752105,1.9165772676304627,61.14792251586914,16,0.115,1,,43.17037037037037,41.0,15.0,76.0,5828.0,16.164979994420378,0.385573210174778,1.4863393386386687
ID26950434,26950434,1,9.977771759033203,2.4869742493315687,1.6189730787733039,1.9403674129279451,64.96966767311096,17,0.115,1,,51.24444444444445,49.0,17.0,93.0,6918.0,19.689176762679537,0.39318818051847515,1.4690612378771637
ID26950429,26950429,1,8.828166961669922,2.4885030014357237,1.631876177196682,1.9233819167536432,68.79141283035278,18,0.115,1,,54.385185185185186,54.0,23.0,88.0,7342.0,16.965718369078377,0.33672131504009944,1.6149834996441368
ID26950437,26950437,1,8.725570678710938,2.5990135945971256,1.6440330266768217,1.8929689160808252,72.6131579875946,19,0.115,1,,53.422222222222224,54.0,21.0,87.0,7212.0,16.471806155062364,0.33716008750941584,1.6355486819169653
ID26950382,26950382,2,9.28420639038086,4.549236049607141,4.039581248470035,3.9955082727535216,0.0,0,0.115,1,,64.14814814814815,64.0,30.0,98.0,8660.0,17.407117483442395,0.3057424814826967,1.7257803152836895
ID26950405,26950405,2,9.650074005126953,4.47632531977192,4.1006896286022485,4.1000000000000005,3.8217451572418213,1,0.115,1,,60.77777777777778,60.0,27.0,96.0,8205.0,18.54388367873751,0.33955309893541874,1.661582399191424
ID26950372,26950372,2,7.149326324462891,4.5702342425643385,4.1006896286022485,4.1000000000000005,7.643490314483643,2,0.115,1,,49.4,48.0,22.0,74.0,6669.0,12.619695575484789,0.30606696352115087,1.8346747192717072
