LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID13190812,13190812,1,1.8177642822265625,7.04933399687075,8.622732097215653,1.2423277972124571,0.0,0,0.1,1,,12.848101265822784,13.0,7.0,18.0,1015.0,2.89601232287246,0.3254353732366522,2.1785861638447703
ID13190798,13190798,1,3.100627899169922,6.985856828915918,8.383280090490398,0.9889266120423212,3.821744441986084,1,0.1,1,,19.569620253164558,19.0,11.0,29.0,1546.0,4.41931525123983,0.35377026331824035,2.3143751927696172
ID13190801,13190801,1,1.1954331398010254,7.193255460614864,8.271013197588958,0.9284555193176285,7.643488883972168,2,0.1,1,,8.924050632911392,9.0,4.0,12.0,705.0,1.8931194708038825,0.3026072675015397,2.190180239059591
ID13190808,13190808,1,1.0786380767822266,7.398329760654382,8.052761727363116,0.7601842338971261,11.465233325958252,3,0.1,1,,8.556962025316455,9.0,6.0,11.0,676.0,1.525398942715272,0.2767598336896502,2.431980054011802
ID13190816,13190816,1,1.1874189376831055,7.2295496854228185,8.278522092304618,1.0413271110670541,15.286977767944336,4,0.1,1,,7.177215189873418,7.0,3.0,11.0,567.0,2.0176115205785865,0.3689727674215064,1.9175553951191817
ID13190803,13190803,4,1.367898941040039,5.864893102958153,9.0314650059656,1.8710723151282145,7.643488883972168,2,0.1,1,,8.60759493670886,9.0,4.0,13.0,680.0,2.2555783925863087,0.35294215177490756,1.991031783600645
ID13190810,13190810,4,1.7754545211791992,6.1734127799592216,8.706282442873732,1.6582553437409528,11.465233325958252,3,0.1,1,,11.354430379746836,11.0,6.0,16.0,897.0,2.6264823637843775,0.35113818705975147,2.246979718327763
ID13190817,13190817,4,2.4032163619995117,6.010767458398721,8.687635109550019,1.5683423045132223,15.286977767944336,4,0.1,1,,17.341772151898734,18.0,8.0,24.0,1370.0,3.79907571738101,0.30661640132092244,2.14236171626813
ID13190795,13190795,4,3.40521240234375,5.998091340012443,8.83143003777734,1.5404616117405068,19.10872220993042,5,0.1,1,,21.60759493670886,22.0,11.0,31.0,1707.0,5.003633862886073,0.3523842010574442,2.2504389855559315
ID13190821,13190821,4,1.2790145874023438,5.943057317137189,8.95089738945758,1.3413432783706012,22.930466651916504,6,0.1,1,,7.6835443037974684,8.0,4.0,12.0,607.0,1.9841959154035977,0.37647358955865534,2.1182327388205504
ID13190805,13190805,4,2.4399662017822266,6.006817395430339,8.86875097080521,1.0575348891211551,26.752211093902588,7,0.1,1,,16.79746835443038,17.0,8.0,24.0,1327.0,3.542343664412901,0.3217552019279055,2.308647800647919
ID13190829,13190829,4,3.298063278198242,6.308533050387451,8.998746993315722,1.202424320654911,30.573955535888672,8,0.1,1,,23.82278481012658,24.0,10.0,33.0,1882.0,5.394107643865892,0.30078428737364526,2.0424563212229687
ID13190845,13190845,4,3.7804412841796875,6.647364645010613,8.88584601610971,1.129851470738802,34.395699977874756,9,0.1,1,,28.848101265822784,29.0,18.0,39.0,2279.0,5.556443724308618,0.2901561981560661,2.3352848849765206
ID13190837,13190837,4,6.223239898681641,6.666858047236719,8.890414457433037,0.9850452118249552,38.21744441986084,10,0.1,1,,43.77215189873418,43.0,27.0,61.0,3458.0,8.364990178988837,0.31755780614475065,2.5224093782573367
ID13190825,13190825,4,8.576820373535156,6.767565259851573,8.903463200372595,0.9354278277185598,42.039188861846924,11,0.1,1,,58.54430379746835,60.0,31.0,83.0,4625.0,13.25663594674277,0.32615906501405206,2.1722767141630475
ID13190833,13190833,4,3.023469924926758,6.851105694318571,8.850732292237579,0.917162695742561,45.86093330383301,12,0.1,1,,21.759493670886076,22.0,13.0,30.0,1719.0,4.50986153029063,0.3140653019362525,2.306314787647695
ID13190852,13190852,4,1.6726350784301758,7.119305135883827,8.752701816502746,1.004784377480025,49.68267774581909,13,0.1,1,,11.291139240506329,11.0,6.0,16.0,892.0,2.68973308529064,0.329931747399112,2.0828276167083275
ID13190848,13190848,4,3.4720611572265625,6.778005767898686,8.418738700666065,0.70608707706549,53.504422187805176,14,0.1,1,,24.31645569620253,25.0,13.0,34.0,1921.0,5.162846322393594,0.32155408155660403,2.2919764842783734
ID13190840,13190840,4,4.4765625,7.105460167147745,8.326149143576488,0.6086671940048469,57.32616662979126,15,0.1,1,,30.151898734177216,30.0,17.0,43.0,2382.0,6.673884440719311,0.3296862788880206,2.2403592490980713
ID13190856,13190856,4,3.477293014526367,6.416247155870122,8.09893204445252,0.31739099603024656,61.147911071777344,16,0.1,1,,22.82278481012658,23.0,12.0,33.0,1803.0,5.278790395805012,0.3465649710130045,2.2254690808451874
ID13190860,13190860,4,2.596632957458496,6.372300271667309,7.948716490487143,0.30739062489652197,64.96965551376343,17,0.1,1,,18.27848101265823,18.0,10.0,26.0,1444.0,4.116684964749407,0.3250272733760871,2.1782987958353486
ID13190866,13190866,4,3.096332550048828,6.022457115667958,8.012836053930098,0.34037149464719013,68.79139995574951,18,0.1,1,,18.860759493670887,19.0,9.0,29.0,1490.0,4.981334846371154,0.3706015673508602,2.0475733306686066
ID13190841,13190841,7,2.02816104888916,6.7613662837313795,8.512783369534098,1.4833328278192113,57.32616662979126,15,0.1,1,,14.481012658227849,14.0,8.0,20.0,1144.0,3.0122006585767194,0.3139398734682028,2.297291027878079
