TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,,,,,,,,,,,,,,
Track ID,X,Y,Z,T,Frame,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,,,,,,,,,,,,,,
Track ID,X,Y,Z,T,Frame,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,,,,,,,,,,,,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,,,,,,
2,4.399458931,3.121682249,1.969062539,0,0,137.9333333,133,44,245,18621,53.27809328,4,1.787366051,6.657795935,1.052200764,0,0,70.44444444,65,22,130,9510,28.05848547,0,4.490853453
2,4.394099036,3.105274331,1.927386644,3.821744442,1,122.8296296,118,40,218,16582,46.43829813,4,1.758017105,6.659560177,1.050205947,3.821744442,1,50.31851852,46,17,93,6793,19.58550022,0.063695741,4.51124393
2,4.410939113,3.077826617,1.912112434,7.643488884,2,86.87407407,82,30,155,11728,32.5270105,4,1.76883436,6.614469119,1.071081977,7.643488884,2,35.63703704,35,10,65,4811,14.40387977,0.127391481,4.493983749
2,4.419498575,3.094236176,1.989223822,11.46523333,3,146.8666667,140,63,240,19827,44.34663325,4,1.77457952,6.641778207,0.999374797,11.46523333,3,50.17037037,49,20,82,6773,15.48593042,0.191087222,4.534363501
2,4.45256421,3.088139656,1.964900371,15.28697777,4,102.0074074,97,42,166,13771,31.48975107,4,1.770276672,6.614675844,0.976543036,15.28697777,4,41.19259259,40,15,66,5561,12.97902803,0.254782963,4.539600659
2,4.469651501,3.080808535,1.997923871,19.10872221,5,88.57777778,88,35,142,11958,26.84156575,4,1.771852762,6.648298778,1.012918466,19.10872221,5,37.12592593,36,13,60,5012,11.71708131,0.318478703,4.579884313
2,4.467179852,3.069817075,2.034896426,22.93046665,6,58.27407407,57,24,94,7867,17.64933284,4,1.775210634,6.636023584,0.986895785,22.93046665,6,35.08148148,34,13,59,4736,11.29724035,0.382174444,4.58942616
2,4.464684098,3.090795817,2.026601527,26.75221109,7,69.06666667,67,29,112,9324,20.98229531,4,1.809360888,6.664156086,0.982310305,26.75221109,7,39.06666667,37,16,65,5274,12.37546924,0.445870185,4.572766025
2,4.472984751,3.012612619,1.99752343,30.57395554,8,58.85925926,59,25,94,7946,17.62340835,4,1.80687224,6.620596375,1.033915818,30.57395554,8,35.45925926,35,15,59,4787,11.73892807,0.509565926,4.588490202
2,4.430621846,2.920669755,2.123317552,34.39569998,9,67.05925926,66,23,109,9053,21.75122675,4,1.829558453,6.553546143,1.013383596,34.39569998,9,29,29,10,47,3915,9.2880922,0.573261666,4.603832643
2,4.489783374,2.926354164,2.053745293,38.21744442,10,54.86666667,54,18,92,7407,18.83264869,4,1.810190804,6.503161259,1.057169746,38.21744442,10,25.31111111,24,12,41,3417,7.516615095,0.636957407,4.578965839
2,4.48096887,2.956063143,2.061036508,42.03918886,11,50.97037037,50,20,83,6881,16.24253709,4,1.819059182,6.576007173,1.088427447,42.03918886,11,23.03703704,23,10,37,3110,6.857186455,0.700653148,4.597360803
2,4.565262315,2.941323865,2.061136868,45.8609333,12,49.78518519,45,18,92,6721,19.40510211,4,1.791139015,6.51629935,1.211882455,45.8609333,12,15.9037037,14,5,30,2147,6.388976133,0.764348888,4.604068077
2,4.563887722,2.946172772,2.129867605,49.68267775,13,44.2962963,41,16,81,5980,17.01845972,4,1.815420291,6.482698575,1.170869872,49.68267775,13,12.25925926,11,5,22,1655,4.423416258,0.828044629,4.580476463
2,4.587555624,2.919038883,2.155301667,53.50442219,14,57.42222222,55,16,108,7752,23.96217999,4,1.798023428,6.467763806,1.21260562,53.50442219,14,17.23703704,16,5,31,2327,6.873274445,0.89174037,4.611248669
2,4.485202172,2.725452754,2.349555048,57.32616663,15,40.5037037,37,12,76,5468,16.46156721,4,1.893729103,6.439698939,1.240855522,57.32616663,15,11.65925926,11,4,21,1574,4.582841071,0.95543611,4.662678634
2,4.648414775,2.84802786,2.131677264,61.14791107,16,23.8,23,8,42,3213,9.150320115,4,1.827283295,6.401932179,1.316886964,61.14791107,16,10.28148148,10,3,18,1388,3.688732039,1.019131851,4.610086981
2,4.81692449,2.90329744,2.240095491,64.96965551,17,26.21481481,25,11,46,3539,9.259432613,4,1.778146882,6.367002159,1.335784886,64.96965551,17,12.36296296,12,4,24,1669,5.17832366,1.082827592,4.695657292
2,4.718162387,2.816303718,2.287634034,68.79139996,18,37.42222222,36,12,67,5052,13.81350554,4,1.752018607,6.311651373,1.071900872,68.79139996,18,15.22962963,15,6,26,2056,5.455301052,1.146523333,4.742728252
2,4.629345392,2.777979034,2.263546204,72.6131444,19,44.04444444,40,16,82,5946,17.17289893,4,1.761682424,6.37203536,1.251483024,72.6131444,19,16.83703704,16,5,31,2273,6.631232531,1.210219073,4.70797235
