LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID3319225,3319225,0,34.733795166015625,5.145468169082062,6.542550054853267,2.457363600133634,0.0,0,0.115,1,,201.93333333333334,194.0,77.0,342.0,27261.0,67.50900437454096,0.35626087106273785,1.5714522895139476
ID3319234,3319234,0,18.044769287109375,5.572877724276234,6.78361830679713,2.7154203259255563,3.823418140411377,1,0.115,1,,107.2074074074074,105.0,42.0,178.0,14473.0,33.90837000890988,0.3491313070624607,1.6363735449255792
ID3319220,3319220,0,15.944694519042969,5.669955558841628,6.848490881338361,2.907283039903377,7.646836280822754,2,0.115,1,,94.31111111111112,91.0,40.0,157.0,12732.0,29.995140568289443,0.3509800800715012,1.6337119238315798
ID3319243,3319243,0,7.5596771240234375,5.328593607347887,6.814251712170051,3.099872557406324,11.47025442123413,3,0.115,1,,40.111111111111114,38.0,15.0,71.0,5415.0,14.606616097879954,0.3806895163475608,1.5143280366157814
ID3319239,3319239,0,6.023820877075195,5.430690873552018,6.7856428333910985,3.172120119448457,15.293672561645508,4,0.115,1,,30.903703703703705,29.0,9.0,57.0,4172.0,12.346897654981921,0.39137174101045813,1.408085299322697
ID3319241,3319241,0,3.3805007934570312,5.7942322603199345,6.725766219926211,3.27674611160161,19.117090702056885,5,0.115,1,,19.266666666666666,18.0,8.0,33.0,2601.0,6.598507293885693,0.3593137068210382,1.5436362427280945
ID3319232,3319232,0,9.035530090332031,5.62789370706367,6.784807093708563,3.223476877202031,22.94050884246826,6,0.115,1,,55.1037037037037,53.0,22.0,90.0,7439.0,17.20780544606901,0.34206357742190596,1.6323716438597176
ID3319237,3319237,0,8.529777526855469,5.692397813564763,6.758587682113506,3.1601148697263834,26.76392698287964,7,0.115,1,,50.56296296296296,48.0,22.0,84.0,6826.0,15.917514716105153,0.35001803603764464,1.647168787083274
ID3319246,3319246,0,6.014942169189453,5.7256007641427225,6.712887861930377,3.1600031750519872,30.587345123291016,8,0.115,1,,38.12592592592593,38.0,16.0,61.0,5147.0,11.559340495073197,0.330935579426078,1.6402262768514337
ID3319257,3319257,0,5.533143997192383,5.770891264916297,6.823756481989737,3.445491686287345,34.41076326370239,9,0.115,1,,33.65185185185185,33.0,14.0,55.0,4543.0,10.657012629571366,0.344440344197125,1.6179904790029591
ID3319249,3319249,0,4.203773498535156,5.781011882393347,6.919866963058093,3.442119342553844,38.23418140411377,10,0.115,1,,27.414814814814815,27.0,11.0,44.0,3701.0,8.22118231064447,0.32229763619446367,1.6255821878638987
ID3319255,3319255,0,5.487464904785156,5.658200424982964,6.910919197620894,3.345511724696523,42.05759954452515,11,0.115,1,,36.20740740740741,36.0,15.0,56.0,4888.0,10.197377696497236,0.32186502992254956,1.7291218533603019
ID3319251,3319251,0,5.984138488769531,5.628472242424148,6.918179062381839,3.3387994835504515,45.88101768493652,12,0.115,1,,36.992592592592594,35.0,16.0,60.0,4994.0,11.065946349112544,0.3379786783436641,1.688870366644696
ID3319259,3319259,0,7.144420623779297,5.5342904950869585,6.901475100136136,3.4007405810982214,49.7044358253479,13,0.115,1,,44.01481481481481,44.0,17.0,72.0,5942.0,14.023426660458972,0.34071866789928124,1.5952655980679087
ID3319253,3319253,0,5.765129089355469,5.597022084686711,6.9396875600669725,3.3669610354067783,53.52785396575928,14,0.115,1,,37.77777777777778,37.0,17.0,59.0,5100.0,11.033643710594355,0.3234575683555275,1.6736118522078687
ID3319262,3319262,0,4.599039077758789,5.700797675106002,7.049109340129837,3.4096680619927033,57.351272106170654,15,0.115,1,,30.644444444444446,29.0,15.0,48.0,4137.0,8.691621172541126,0.318364570401213,1.7028255829356955
ID3319264,3319264,0,3.596677780151367,5.673933296202386,7.004838412999211,3.4429794833330463,61.17469024658203,16,0.115,1,,23.88888888888889,23.0,11.0,37.0,3225.0,6.794056518759577,0.31943624878100285,1.7025213889187072
ID3319270,3319270,0,4.328090667724609,5.75252519737791,6.884423662866291,3.3362631899018074,64.99810838699341,17,0.115,1,,28.192592592592593,28.0,13.0,44.0,3806.0,7.883949590069098,0.32310921841677753,1.746525077590582
ID3319266,3319266,0,3.3216800689697266,5.853064087586223,6.624436018152415,3.317049642191666,68.82152652740479,18,0.115,1,,16.362962962962964,16.0,6.0,30.0,2209.0,6.335881480931366,0.4104152032007011,1.5030082270262406
ID3319268,3319268,0,4.229480743408203,5.924333431600133,6.493399091759054,3.1503069743448577,72.64494466781616,19,0.115,1,,22.31851851851852,22.0,7.0,40.0,3013.0,8.33142930155109,0.3835862836979246,1.4853632231096179
ID3319224,3319224,2,12.103378295898438,3.3449372082251876,2.035954190076204,1.6094930752926644,0.0,0,0.115,1,,70.48148148148148,66.0,31.0,118.0,9515.0,22.121392311263627,0.3554433967909072,1.6710199172533968
ID3319233,3319233,2,5.224382400512695,3.3630943166236706,2.080468705682985,1.6123121805553045,3.823418140411377,1,0.115,1,,34.333333333333336,34.0,12.0,54.0,4635.0,10.542026767097918,0.3202215850858188,1.5798855428344194
ID3319219,3319219,2,3.537677764892578,3.3844376382760455,2.0577455999595715,1.6358073786560468,7.646836280822754,2,0.115,1,,23.303703703703704,23.0,11.0,36.0,3146.0,6.463761293612805,0.3166363726088627,1.7340618711236502
