LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID16302590,16302590,0,17.492523193359375,4.319575110007447,3.697549357804967,3.7003883893587535,0.0,0,0.115,1,,110.33333333333333,105.0,52.0,179.0,14895.0,33.48289828572102,0.33335507834319333,1.6476878808763278
ID16302584,16302584,0,17.473289489746094,4.155420750708035,4.083094847169712,3.799037316031355,3.821743965148926,1,0.115,1,,112.18518518518519,110.0,43.0,180.0,15145.0,34.4494406048609,0.3288532789593154,1.6117900663098246
ID16302581,16302581,0,11.354820251464844,4.1443821236004394,4.282978822512057,3.651174687932868,7.643487930297852,2,0.115,1,,74.57777777777778,74.0,31.0,118.0,10068.0,22.55522796288505,0.3182032322482179,1.5962996846273176
ID16302595,16302595,0,6.788982391357422,3.997920996085371,4.345870653131401,3.7022899671828107,11.465231895446777,3,0.115,1,,38.60740740740741,36.0,14.0,68.0,5212.0,14.237902063457293,0.35859944468306726,1.4314388923872976
ID16302587,16302587,0,4.303316116333008,4.0632964235415026,4.307253859398332,3.4683040650183288,15.286975860595703,4,0.115,1,,24.54074074074074,24.0,8.0,43.0,3313.0,9.198282580584435,0.35786743173937197,1.406292693176221
ID16302598,16302598,0,4.320304870605469,4.036057293855659,4.374762318722717,3.7262533488265923,19.10871982574463,5,0.115,1,,27.466666666666665,26.0,11.0,45.0,3708.0,8.742416756610766,0.328195305948648,1.5526546599137065
ID16302586,16302586,0,5.958744049072266,3.5133524789082746,4.778736567468047,3.345610999252826,22.930463790893555,6,0.115,1,,38.77037037037037,38.0,14.0,61.0,5234.0,11.652263082184026,0.32307626966215097,1.6249494066655998
ID16302601,16302601,0,5.485202789306641,3.53147836155215,4.713020012489968,3.437462730730913,26.75220775604248,7,0.115,1,,34.84444444444444,34.0,14.0,56.0,4704.0,10.789620957105498,0.3289366681192589,1.5986940424149065
ID16302603,16302603,0,3.6380767822265625,3.6753678649052324,4.592186990247031,3.386296079119738,30.573951721191406,8,0.115,1,,24.496296296296297,24.0,11.0,38.0,3307.0,7.1056778580231965,0.3126927969183027,1.6424028218426603
ID16302609,16302609,0,4.138498306274414,3.762192748594526,4.491805011675018,3.3864952672439763,34.39569568634033,9,0.115,1,,26.985185185185184,27.0,10.0,43.0,3643.0,8.41816194457864,0.3191066259079366,1.5509365908578794
ID16302604,16302604,0,2.1708450317382812,3.9048596564801596,4.525851553093496,3.328179731779063,38.21743965148926,10,0.115,1,,15.207407407407407,15.0,6.0,23.0,2053.0,4.1359297467551315,0.29799761564535954,1.6883050435299176
ID16302599,16302599,0,3.335817337036133,3.9160554060041934,4.500458040150105,3.329544116300552,42.039183616638184,11,0.115,1,,23.71851851851852,24.0,10.0,36.0,3202.0,6.236210880578254,0.29605461529385546,1.7375819440532367
ID16302612,16302612,0,2.536710739135742,4.314075608884718,4.247437235009093,3.3917340470056168,45.86092758178711,12,0.115,1,,14.555555555555555,14.0,5.0,25.0,1965.0,4.8969479783317675,0.3563748401836055,1.5619265302197665
ID16302608,16302608,0,2.5279951095581055,3.969440118932178,4.323923524966247,3.4037443059954304,49.682671546936035,13,0.115,1,,13.614814814814816,12.0,5.0,24.0,1838.0,4.953492940965679,0.3808074018425527,1.5160113775101287
ID16302617,16302617,0,1.5031871795654297,3.8196723357381956,4.419187217407309,3.856374448704112,53.50441551208496,14,0.115,1,,10.037037037037036,10.0,4.0,16.0,1355.0,3.0625504136146797,0.3177677266306728,1.5806044335511897
ID16302619,16302619,0,2.1332149505615234,4.251421746732778,4.0692428633485065,3.416582424247332,57.32615947723389,15,0.115,1,,14.592592592592593,15.0,6.0,22.0,1970.0,4.11820910267771,0.3047800685787835,1.6554013598860757
ID16302618,16302618,0,4.19981575012207,4.234251544923423,4.078083789012944,3.30581751622616,61.14790344238281,16,0.115,1,,26.57777777777778,26.0,12.0,42.0,3588.0,7.709721200862254,0.3286587792937346,1.7054608899134236
ID16302615,16302615,0,2.7422256469726562,4.397544568317068,4.137421186401216,3.044860256329607,64.96964740753174,17,0.115,1,,17.85925925925926,18.0,6.0,28.0,2411.0,5.581369546479833,0.3242510023326611,1.5669808032848593
ID16302620,16302620,0,2.1475706100463867,4.350400780786024,4.125447769800432,3.3283148313549544,68.79139137268066,18,0.115,1,,13.125925925925927,13.0,5.0,22.0,1772.0,4.414071173285529,0.33705923278954447,1.4992573749118254
ID16302625,16302625,0,2.5538835525512695,4.300981347872899,4.0788552453999305,3.2875914298931717,72.61313533782959,19,0.115,1,,13.837037037037037,14.0,5.0,25.0,1868.0,5.403436451342114,0.36648484718352564,1.3735809325764374
ID16302588,16302588,3,5.491062164306641,3.7820274577324198,4.969034670726894,2.2249307460372427,0.0,0,0.115,1,,34.77037037037037,33.0,17.0,55.0,4694.0,9.934817968677496,0.3301470263461163,1.7373492868514173
ID16302583,16302583,3,1.407236099243164,3.7711120851339617,4.853792397276242,1.7508286319112212,3.821743965148926,1,0.115,1,,10.392592592592592,11.0,5.0,15.0,1403.0,2.4406272019197623,0.2841367656922216,1.8843805075058377
ID16302578,16302578,3,1.001053810119629,3.9150137552969224,4.733832883139077,1.305068406115188,7.643487930297852,2,0.115,1,,6.0814814814814815,6.0,3.0,10.0,821.0,1.8449279072265836,0.3357419507825262,1.6570782909894517
