LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID8668858,8668858,0,59.843353271484375,1.6039466647390868,2.479762035884156,1.370873811807825,0.0,0,0.115,1,,343.74074074074076,327.0,131.0,583.0,46405.0,113.09881843233595,0.35916513933490113,1.6062934437020662
ID8668872,8668872,0,38.12451171875,1.6100377458570732,2.4950630132189704,1.3750014946711149,3.8217430114746094,1,0.115,1,,220.5851851851852,218.0,84.0,370.0,29779.0,73.2008467026703,0.3579625539081326,1.5886931975232796
ID8668863,8668863,0,23.465835571289062,1.5964321701497277,2.495261370944736,1.4274266365768986,7.643486022949219,2,0.115,1,,136.7111111111111,133.0,60.0,229.0,18456.0,42.97410998907638,0.35609913471421784,1.6707304854893907
ID8668886,8668886,0,9.281539916992188,1.645159048843514,2.482437720152675,1.3193170728121044,11.465229034423828,3,0.115,1,,45.48148148148148,44.0,13.0,84.0,6140.0,18.00325503398439,0.4084285334518957,1.465192964566187
ID8668865,8668865,0,7.338401794433594,1.6525927515470056,2.4674200825901265,1.3727309999667439,15.286972045898438,4,0.115,1,,35.11851851851852,33.0,13.0,66.0,4741.0,13.305846460396255,0.4178545667092155,1.555668798677924
ID8668867,8668867,0,8.0986328125,1.6322525421043403,2.4844494843637355,1.3812764604217402,19.108715057373047,5,0.115,1,,39.08888888888889,37.0,13.0,74.0,5277.0,14.965864974262615,0.41221880838055236,1.5247804359388502
ID8668861,8668861,0,12.43648910522461,1.642054993871754,2.5003685890892324,1.403490948435733,22.930458068847656,6,0.115,1,,60.72592592592593,58.0,19.0,114.0,8198.0,25.02817207582605,0.41071640375323715,1.4127891185047834
ID8668869,8668869,0,11.415721893310547,1.6147162155675368,2.473598682201219,1.510456772375771,26.752201080322266,7,0.115,1,,57.74074074074074,55.0,19.0,106.0,7795.0,22.917751368871627,0.3972752854346245,1.4326823614224515
ID8668876,8668876,0,13.139934539794922,1.6160800484066113,2.472588601972923,1.5217670409947288,30.573944091796875,8,0.115,1,,63.111111111111114,61.0,20.0,120.0,8520.0,25.57624441951877,0.4152693047783093,1.4480707846778884
ID8668892,8668892,0,7.8635101318359375,1.6102312456805428,2.490068414105676,1.3875912211649348,34.395687103271484,9,0.115,1,,41.303703703703704,39.0,11.0,74.0,5576.0,16.472171953533543,0.3880750410255415,1.4020738579321301
ID8668874,8668874,0,10.186565399169922,1.586470006917668,2.490591184369544,1.5474089401129456,38.217430114746094,10,0.115,1,,52.01481481481481,49.0,15.0,95.0,7022.0,21.09183374022164,0.3954108985778456,1.3976204217671535
ID8668881,8668881,0,8.192333221435547,1.571886640646138,2.4203740254884782,1.8322607448690746,42.0391731262207,11,0.115,1,,41.22962962962963,39.0,14.0,75.0,5566.0,15.942499635813745,0.40375837685823746,1.4876891593186587
ID8668879,8668879,0,9.730770111083984,1.6256904859998602,2.3844497337326893,1.643830367733359,45.86091613769531,12,0.115,1,,48.370370370370374,43.0,18.0,90.0,6530.0,19.088849890978484,0.40505036206239453,1.460988438440835
ID8668890,8668890,0,9.23221206665039,1.7145929931582649,2.3352576667299814,1.542293206822363,49.68265914916992,13,0.115,1,,46.46666666666667,43.0,15.0,86.0,6273.0,18.613427988754175,0.3985353311751875,1.4227825747439342
ID8668883,8668883,0,6.8746490478515625,1.709055453551409,2.3098855572228882,1.5877662908767058,53.50440216064453,14,0.115,1,,34.888888888888886,33.0,10.0,65.0,4710.0,14.44374918597189,0.3944201976798018,1.3664781056783935
ID8668888,8668888,0,7.320487976074219,1.6434249066406401,2.3644608588342315,1.5841340883111033,57.32614517211914,15,0.115,1,,36.57037037037037,35.0,10.0,68.0,4937.0,15.360610966520417,0.40306999477633754,1.367892589866741
ID8668884,8668884,0,7.613639831542969,1.643923681368499,2.376030813450493,1.5897842958524218,61.14788818359375,16,0.115,1,,37.837037037037035,37.0,12.0,70.0,5108.0,15.265905533323249,0.40445187543030736,1.4275276744318712
ID8668897,8668897,0,4.8345947265625,1.626497204878489,2.368842353381339,1.6008441022662165,64.96963119506836,17,0.115,1,,25.533333333333335,24.0,9.0,46.0,3447.0,9.652777807604659,0.38332352392824637,1.465976169996131
ID8668894,8668894,0,6.08843994140625,1.647637312836902,2.3690519445722846,1.587530449547816,68.79137420654297,18,0.115,1,,37.422222222222224,37.0,15.0,60.0,5052.0,11.628879815835417,0.3410853025597458,1.6369231471622487
ID8668899,8668899,0,5.9174957275390625,1.6725784757490665,2.3147302991598986,1.6692526066664999,72.61311721801758,19,0.115,1,,34.58518518518518,35.0,14.0,58.0,4669.0,11.276964491257933,0.3542884789953366,1.6046256647081583
ID8668859,8668859,1,10.49087142944336,6.768346672427812,7.338212632613653,1.6545620167338324,0.0,0,0.115,1,,62.75555555555555,62.0,23.0,104.0,8472.0,20.46382562484298,0.3468190039635437,1.579388598984838
ID8668873,8668873,1,7.001560211181641,6.7628916764864835,7.348433435600753,1.5965131043360428,3.8217430114746094,1,0.115,1,,44.614814814814814,43.0,22.0,71.0,6023.0,12.68445116161597,0.3289861047399502,1.741383899382455
ID8668864,8668864,1,5.341646194458008,6.742309272068641,7.370635347357182,1.6348809733097525,7.643486022949219,2,0.115,1,,33.98518518518519,33.0,12.0,54.0,4588.0,10.743262508713178,0.32902379899681355,1.5663110190871288
