LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID7617508,7617508,0,49.015106201171875,4.222586928919182,4.365883473324195,2.1502947034855886,0.0,0,0.115,1,,289.6592592592593,285.0,111.0,485.0,39104.0,96.1423201086032,0.3499744713943343,1.5621172328593902
ID7617500,7617500,0,17.845428466796875,4.088709525993604,4.370257630803939,1.9679683385545144,3.8217430114746094,1,0.115,1,,108.54814814814814,106.0,38.0,179.0,14654.0,35.751989511183,0.34171368901501287,1.5465170997158222
ID7617497,7617497,0,15.381988525390625,4.012471157483053,4.325913681091668,2.122998237441878,7.643486022949219,2,0.115,1,,91.07407407407408,86.0,37.0,153.0,12295.0,29.48959584546388,0.3496382990779432,1.6001383893234715
ID7617498,7617498,0,9.128795623779297,4.070634193231819,4.3266392687530475,2.126276490631407,11.465229034423828,3,0.115,1,,49.007407407407406,46.0,18.0,87.0,6616.0,17.6548569683129,0.3740787423556111,1.5113982976822256
ID7617525,7617525,0,7.040122985839844,4.043107446911406,4.318216148396325,2.1567312362150495,15.286972045898438,4,0.115,1,,36.06666666666667,33.0,13.0,66.0,4869.0,13.474796816788416,0.3916253784930056,1.5064761617512874
ID7617505,7617505,0,2.9219589233398438,3.992375050489248,4.335447884825911,2.001660753568995,19.108715057373047,5,0.115,1,,16.118518518518517,16.0,4.0,28.0,2176.0,6.330513468424833,0.369954005380695,1.37517487267863
ID7617503,7617503,0,6.332988739013672,3.890717561304673,4.296876184795679,2.0414766717193116,22.930458068847656,6,0.115,1,,32.93333333333333,31.0,10.0,59.0,4446.0,13.004132523416054,0.3886156008432888,1.4174981145525176
ID7617511,7617511,0,5.89495849609375,3.891941943090691,4.336594201568072,2.047036609783713,26.752201080322266,7,0.115,1,,30.607407407407408,29.0,8.0,55.0,4132.0,12.277935735084707,0.39079409930048353,1.4009296992134503
ID7617514,7617514,0,10.918033599853516,3.8478222306246774,4.318278533600456,1.926533497458826,30.573944091796875,8,0.115,1,,55.20740740740741,50.0,21.0,102.0,7453.0,21.404454933249216,0.3961369235617175,1.463660952590779
ID7617520,7617520,0,9.077106475830078,3.8645597294376373,4.332547569172509,1.9615035633412483,34.395687103271484,9,0.115,1,,45.74074074074074,43.0,13.0,83.0,6175.0,18.56773118176405,0.399955253933925,1.4075751812108566
ID7617516,7617516,0,5.707136154174805,3.8275454922317147,4.339170308534477,2.011245886592372,38.217430114746094,10,0.115,1,,28.71851851851852,28.0,9.0,52.0,3877.0,11.235373145967689,0.4029156509305705,1.4682063728040449
ID7617518,7617518,0,5.625001907348633,3.8711390619559998,4.402658441316149,2.043652176712605,42.0391731262207,11,0.115,1,,29.17037037037037,28.0,8.0,53.0,3938.0,11.49661906222008,0.391603049066624,1.4280140834685622
ID7617526,7617526,0,7.734870910644531,3.874406020185521,4.465810135078001,2.0764065670297867,45.86091613769531,12,0.115,1,,38.58518518518518,36.0,11.0,72.0,5209.0,15.669813734229601,0.402835277198392,1.4141893673058248
ID7617522,7617522,0,7.798267364501953,3.936336718636122,4.493677099670294,2.1319379027704244,49.68265914916992,13,0.115,1,,40.80740740740741,39.0,11.0,74.0,5509.0,16.47136651495843,0.3864005241069855,1.3809830921927941
ID7617528,7617528,0,6.639686584472656,3.9574822103526883,4.43411759612792,2.14890012077171,53.50440216064453,14,0.115,1,,33.79259259259259,32.0,9.0,62.0,4562.0,13.902698275791858,0.3960412538197694,1.3790962742532782
ID7617530,7617530,0,6.5798187255859375,3.967372394422287,4.3964269963286915,2.0794214490599763,57.32614517211914,15,0.115,1,,33.977777777777774,33.0,10.0,62.0,4587.0,13.68595895934282,0.3908113492781029,1.3952392186318006
ID7617536,7617536,0,4.648303985595703,4.015294142325478,4.3920829382559115,2.091003480717332,61.14788818359375,16,0.115,1,,24.88888888888889,24.0,8.0,45.0,3360.0,9.812926797765714,0.37867621865753004,1.3932937624398163
ID7617532,7617532,0,4.52789306640625,4.058161715242743,4.440595648802786,2.107092547109512,64.96963119506836,17,0.115,1,,23.83703703703704,24.0,8.0,43.0,3218.0,9.178338716951757,0.3864538149475597,1.4478060192464641
ID7617534,7617534,0,7.58746337890625,4.153355446306758,4.389672533127407,2.134021485968277,68.79137420654297,18,0.115,1,,46.333333333333336,46.0,18.0,76.0,6255.0,14.876105251801851,0.34080546741518186,1.5833432681420252
ID7617538,7617538,0,5.435420989990234,4.164336960443994,4.361718487057062,2.1833688445358983,72.61311721801758,19,0.115,1,,33.79259259259259,34.0,14.0,54.0,4562.0,9.99708636381703,0.33598875782036636,1.7001999798067586
ID7617507,7617507,1,11.891281127929688,3.6950841063056092,3.1968160299768575,2.1078922314827624,0.0,0,0.115,1,,70.33333333333333,69.0,32.0,117.0,9495.0,21.743415541330783,0.35018134715025906,1.6778932838235505
ID7617501,7617501,1,8.385894775390625,3.6666645771878112,3.1541028786460235,2.111167794048625,3.8217430114746094,1,0.115,1,,50.614814814814814,49.0,20.0,83.0,6833.0,15.331649629961491,0.3436820608499923,1.6888034474410645
ID7617496,7617496,1,6.216758728027344,3.6364660146312153,3.0475944459410536,2.076877703179309,7.643486022949219,2,0.115,1,,38.01481481481481,37.0,16.0,62.0,5132.0,11.698312919050236,0.33978562018000796,1.6482736806559175
