LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID348812,348812,0,8.944656372070312,2.7752758601461935,3.6109842354594273,2.5565767575414298,0.0,0,0.0575,1,,95.12903225806451,98.0,63.0,119.0,2949.0,16.32123756640178,0.20845915554796693,2.010846807113547
ID348841,348841,0,11.195045471191406,2.7920586116183084,3.598518552535791,2.47099179979547,3.8217451572418213,1,0.0575,1,,116.45161290322581,118.0,85.0,145.0,3610.0,17.977464985693285,0.21179021850906593,2.2642558997938877
ID348828,348828,0,7.423248291015625,2.681877851509529,3.607854338622699,2.444648237372872,7.643490314483643,2,0.0575,1,,87.48387096774194,90.0,61.0,107.0,2712.0,14.17949450848404,0.19932402196402152,2.0507860167780367
ID348796,348796,0,3.8764190673828125,2.548014869278399,3.5854263354230147,2.5837805247627603,11.465235471725464,3,0.0575,1,,47.935483870967744,49.0,31.0,58.0,1486.0,7.818505756093329,0.18861510431710624,1.9458016817202075
ID348766,348766,0,4.011936187744141,2.6071675303236077,3.557858462622521,2.396854468804231,15.286980628967285,4,0.0575,1,,45.774193548387096,48.0,33.0,56.0,1419.0,6.636814885768397,0.1921904901614312,2.223705314451511
ID348777,348777,0,7.620735168457031,2.5822944377605896,3.5438955362060467,2.640096345546752,19.108725786209106,5,0.0575,1,,83.25806451612904,85.0,58.0,102.0,2581.0,13.371531305814063,0.19676085648518707,2.0474178692811975
ID348853,348853,0,7.082054138183594,2.5823471694105415,3.618940661946859,2.5524657457273756,22.930470943450928,6,0.0575,1,,104.7741935483871,107.0,75.0,125.0,3248.0,15.039303346940322,0.1617732849034027,1.9401799923854404
ID348783,348783,0,5.445121765136719,2.683429531880362,3.568834164599391,2.459551148354008,26.75221610069275,7,0.0575,1,,77.48387096774194,78.0,63.0,91.0,2402.0,8.655907299803742,0.15258678142315824,2.3701290100407064
ID348876,348876,0,2.566925048828125,2.750851927053808,3.5435960862942917,2.401105786903879,30.57396125793457,8,0.0575,1,,41.0,42.0,32.0,47.0,1271.0,4.611579628139003,0.14749000444247004,2.285482066789296
ID348858,348858,0,3.8339767456054688,2.708630302601387,3.502406362925047,2.4087510793932263,34.39570641517639,9,0.0575,1,,45.61290322580645,46.0,32.0,55.0,1414.0,6.815068693001017,0.18913543331787094,2.129065645007091
ID348867,348867,0,4.494476318359375,2.9541845123404884,3.4058177523023536,2.3752747618350187,38.21745157241821,10,0.0575,1,,47.806451612903224,49.0,32.0,60.0,1482.0,8.109333531344031,0.20851576075876865,2.034313638675216
ID348896,348896,0,2.499910354614258,3.032754943737059,3.3810356869572327,2.2443814026136777,42.039196729660034,11,0.0575,1,,28.35483870967742,29.0,21.0,35.0,879.0,3.843161780763111,0.179752660339373,2.248292808968351
ID348886,348886,0,2.5415725708007812,3.070864742254535,3.3454022246478394,2.4096697736935035,45.860941886901855,12,0.0575,1,,29.483870967741936,31.0,22.0,37.0,914.0,4.272945648628008,0.1907009444837907,2.210229009370108
ID348880,348880,0,4.782283782958984,2.9269648908304524,3.423006974408138,2.58782100495785,49.68268704414368,13,0.0575,1,,48.58064516129032,50.0,32.0,61.0,1506.0,8.385599535506836,0.20600217359526635,1.9791689439603344
ID348904,348904,0,2.1972408294677734,2.8256460616416734,3.475659330328838,2.3546236185070506,53.5044322013855,14,0.0575,1,,25.70967741935484,26.0,18.0,32.0,797.0,4.244161074441739,0.20013624059611232,2.0203655408064582
ID348912,348912,0,4.829917907714844,2.820765615012563,3.483345441120082,2.4283059050291746,57.32617735862732,15,0.0575,1,,54.225806451612904,56.0,38.0,66.0,1681.0,8.297428024873549,0.2002073954027353,2.180300421101631
ID348930,348930,0,2.059183120727539,2.8050356982219133,3.5664405322650903,2.683946295276209,61.14792251586914,16,0.0575,1,,25.677419354838708,25.0,18.0,31.0,796.0,3.8068980966502863,0.18006400602409633,2.0584080042657154
ID348921,348921,0,1.5521965026855469,2.8079679013761263,3.585602676708827,2.5393633830405946,64.96966767311096,17,0.0575,1,,20.161290322580644,21.0,15.0,24.0,625.0,2.4778589439749306,0.16386476999815258,2.2911567877009458
ID348924,348924,0,4.484733581542969,2.8330158376507266,3.5835485398588798,2.2361293247432097,68.79141283035278,18,0.0575,1,,63.29032258064516,65.0,43.0,75.0,1962.0,8.896417063016987,0.15243096588326605,1.8819602784391338
ID348936,348936,0,2.686309814453125,2.8489118253282824,3.6127930630294984,2.3492885655157454,72.6131579875946,19,0.0575,1,,38.12903225806452,39.0,28.0,45.0,1182.0,4.688581416476068,0.14917110019714586,2.111272610756063
ID348809,348809,2,4.991527557373047,3.3061846929880057,4.072003870823862,1.7813772767172895,0.0,0,0.0575,1,,52.193548387096776,53.0,35.0,65.0,1618.0,8.723223237766758,0.2116356677374397,2.090194235525173
ID348834,348834,2,5.824390411376953,3.2451367356440555,4.10923613106827,1.5084688097907686,3.8217451572418213,1,0.0575,1,,63.516129032258064,65.0,42.0,79.0,1969.0,10.525749277341845,0.20418489854460473,2.0464042975482357
ID348826,348826,2,2.8828887939453125,3.252291150926078,4.059919724390272,1.5175549205620689,7.643490314483643,2,0.0575,1,,29.64516129032258,31.0,21.0,37.0,919.0,4.579289516193345,0.20390509658771908,2.1929136936280984
