LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID9285651,9285651,3,43.82377624511719,3.6245067773420465,2.8168513392072296,2.379954409539469,0.0,0,0.115,1,,253.43703703703704,245.0,102.0,425.0,34214.0,80.65169330489213,0.3580280798837968,1.6568947723846112
ID9285643,9285643,3,26.116912841796875,3.53895028312587,2.74611236242777,2.2030614959741515,3.823418140411377,1,0.115,1,,165.83703703703705,159.0,80.0,263.0,22388.0,46.66812127560033,0.32783063678270785,1.7546805417963134
ID9285666,9285666,3,20.516075134277344,3.491597932437025,2.779066631390681,2.2146768922675366,7.646836280822754,2,0.115,1,,128.04444444444445,125.0,49.0,205.0,17286.0,38.96474998371647,0.3325886440819208,1.6403259308807139
ID9285648,9285648,3,7.290351867675781,3.553106600728307,2.773454303155413,2.128747369776702,11.47025442123413,3,0.115,1,,40.91851851851852,41.0,14.0,69.0,5524.0,14.067561846187003,0.3614817534854575,1.5445629708461681
ID9285660,9285660,3,8.925086975097656,3.422159931006118,2.79920855667692,2.1872858075833785,15.293672561645508,4,0.115,1,,47.71851851851852,46.0,17.0,84.0,6442.0,16.956772015682073,0.37499905484553153,1.5349758252123225
ID9285662,9285662,3,7.233762741088867,3.3548761656711465,2.7937855746636155,2.166287035440563,19.117090702056885,5,0.115,1,,35.31111111111111,33.0,11.0,67.0,4767.0,13.746894719457938,0.40461449267063665,1.4798614661886997
ID9285658,9285658,3,11.915260314941406,3.2979834736413425,2.7401644812542596,2.166665244824245,22.94050884246826,6,0.115,1,,74.8,71.0,29.0,121.0,10098.0,23.38764822619492,0.33013200096471934,1.587588420822205
ID9285664,9285664,3,7.791248321533203,3.299375508270379,2.8302534198851887,2.2653925187506156,26.76392698287964,7,0.115,1,,52.54814814814815,52.0,17.0,84.0,7094.0,16.77316554398567,0.3059451869385954,1.4678816933815813
ID9285675,9285675,3,10.40478515625,3.1474241308706694,2.671034326049207,2.0384840263685833,30.587345123291016,8,0.115,1,,62.42962962962963,61.0,22.0,103.0,8428.0,20.561716615115323,0.34479037432844173,1.556904327604317
ID9285671,9285671,3,6.6412353515625,3.227511039177214,2.722068971039448,2.196320368341894,34.41076326370239,9,0.115,1,,44.45185185185185,45.0,20.0,69.0,6001.0,12.082872124783016,0.30487415168703025,1.7191020226000304
ID9285682,9285682,3,5.297466278076172,3.121150709647106,2.8729844608265345,2.4047156186525553,38.23418140411377,10,0.115,1,,37.007407407407406,37.0,15.0,59.0,4996.0,10.836296316323608,0.30106258561533256,1.5805068545411034
ID9285673,9285673,3,5.969490051269531,3.1335073336407415,2.88152703118398,2.4818875198296975,42.05759954452515,11,0.115,1,,38.24444444444445,38.0,17.0,61.0,5163.0,11.281649785849021,0.3258653009410158,1.6663431919744733
ID9285678,9285678,3,4.644567489624023,3.16314552979885,2.8586433827654125,2.399554718590673,45.88101768493652,12,0.115,1,,32.11851851851852,32.0,15.0,49.0,4336.0,8.915065106242082,0.3039811597057071,1.6797178308521052
ID9285684,9285684,3,4.950113296508789,3.1745432790281813,2.9621200483715833,2.6225288256111536,49.7044358253479,13,0.115,1,,30.333333333333332,29.0,12.0,50.0,4095.0,9.924340648800444,0.3382950536610054,1.5452268485649872
ID9285686,9285686,3,4.787145614624023,3.0847832539320907,2.8494508229765456,2.286811564811411,53.52785396575928,14,0.115,1,,31.42222222222222,31.0,11.0,50.0,4242.0,9.556951573754285,0.3139372917334827,1.571143216040236
ID9285680,9285680,3,5.365123748779297,3.0161361363051062,2.8554026079580694,2.1850748618963136,57.351272106170654,15,0.115,1,,35.6,35.0,17.0,55.0,4806.0,9.910193756860025,0.3124472935961253,1.7103805278697548
ID9285691,9285691,3,5.082727432250977,3.0098312039735946,2.9436880745754297,2.2813747118677385,61.17469024658203,16,0.115,1,,33.888888888888886,33.0,17.0,52.0,4575.0,8.875310939826667,0.3076382319502182,1.7966208912499937
ID9285689,9285689,3,5.740802764892578,3.040379265875399,3.0082218680474035,2.2105350669737613,64.99810838699341,17,0.115,1,,36.55555555555556,35.0,17.0,58.0,4935.0,10.349610034233004,0.3219245769501369,1.7203105576843158
ID9285696,9285696,3,4.129434585571289,2.9947402049768765,3.065875071944868,2.1801835753555516,68.82152652740479,18,0.115,1,,21.348148148148148,20.0,8.0,39.0,2882.0,7.864826779808681,0.3849885671232197,1.5090467209777016
ID9285693,9285693,3,3.6152267456054688,2.9706442531628006,3.0614816815614647,2.172969616366504,72.64494466781616,19,0.115,1,,19.711111111111112,19.0,7.0,35.0,2661.0,7.270741474708052,0.37219429017009237,1.4706742805841122
ID9285650,9285650,4,77.32891845703125,3.2236197395677393,3.003726653295715,1.59605860017042,0.0,0,0.115,1,,462.06666666666666,432.0,215.0,763.0,62379.0,140.87838515182196,0.3477578005803692,1.6926037432520797
ID9285642,9285642,4,42.05461120605469,3.2859874916144314,2.997681302872019,1.4433184573321707,3.823418140411377,1,0.115,1,,266.7185185185185,262.0,117.0,426.0,36007.0,77.58564375702389,0.32937473314350724,1.7035098870221574
ID9285665,9285665,4,30.574493408203125,3.215526569671934,3.026159465810691,1.4533791639600662,7.646836280822754,2,0.115,1,,188.8074074074074,185.0,71.0,305.0,25489.0,57.79253893593132,0.3357816435189151,1.6424748552407986
